full_name,vehicle~make,vehicle~model,vehicle~year,vehicle~color,vehicle~body_type,vehicle~license_plate_num,vehicle~vin
Donald Adam Brown,Audi,S6,2013,Silver,Sedan,75K Z19,CDLR4PVFYH454KSW2
Antonio Adrian Rivera,Dodge,Grand Caravan Cargo,2006,White,Van/Minivan,D15 1MO,W25R8D0WBNEHPJTSK
Diana Sarah Sanchez,Buick,Encore,2020,Red,SUV,AO 0589,608CHZ3DQYIVUQ523
Mary Donna Norman,Land Rover,Range Rover Sport,2019,White,SUV,956OM,A8U4Z60M0HQE9NO7T
Trevor Timothy Walker,Toyota,Tundra Regular Cab,2011,Black,Pickup,EJK-078,NQSV4VJUG5SOFWH24
Crystal Ashlee Arias,Subaru,Legacy,2018,Black,Sedan,WM 31208,FAM11G6JOUW3VARVG
Morgan Robin Newton,GMC,Savana 1500 Cargo,1998,Blue,Van/Minivan,490 4AM,FDTLLILBIKGCKEM9X
Taylor Karen Hart,Nissan,Kicks,2020,Silver,SUV,737-463,ZX1FMV06H2LCFH64O
Ricky David Hart,Ford,Econoline E350 Super Duty Cargo,2002,Blue,Van/Minivan,TKG-966,LS9UUITF066XFQC6E
Tara Rebecca Cooper,Lexus,NX,2020,Black,SUV,0-07385N,B8LQ6MX8OM56PCKIM
Cristina Maria Mcgee,Ford,Freestar Passenger,2006,Red,Van/Minivan,OSU-6555,SEI7WT6D4G1E1YIFS
Dawn Samantha Tucker,GMC,1500 Regular Cab,1998,Blue,Pickup,144 WEO,9I6ERU2QG5ZQ7NFSK
Tanner Michael Wood,Toyota,Cressida,1992,Silver,Sedan,S34-54O,7YNPNU6RKHPPDI6Y5
Mary Sandra Dyer,Acura,TL,2007,Gray,Sedan,340R7,J15XPZZIXXDJYDPQF
Patricia Anita Gonzalez,Toyota,Sequoia,2001,Red,SUV,2B 4Q9XFW,9R1P93J0SDHEMOC3Z
Daniel Joseph Rose,Chevrolet,Silverado 1500 Double Cab,2014,Blue,Pickup,1HJ O67,F40A7U6U5L6BNWDB0
David Michael Norman,GMC,Sierra 3500 Extended Cab,2005,Blue,Pickup,053-UYVW,YPY2XC9XSLYK46WHQ
Peter James Beltran,Lincoln,Mark VII,1992,Red,Coupe,JSB-6043,AAKUYRIHTZZ9CVD4L
James James Alvarez,Alfa Romeo,4C,2015,Blue,Coupe,390 IHW,HHYXCQ5OG1JG4DT67
Laura Hannah Howard,MAZDA,MX-3,1994,Black,Hatchback,213-GVP,PHKWHXHAPW1IOZ612
Tammy Sylvia Noble,Suzuki,Reno,2007,White,Hatchback,J 393450,GHABVETJIVV35CJOS
Carol Kara Walters,Ford,Econoline E350 Super Duty Passenger,2000,Gray,Van/Minivan,ZIZ 649,0IS4TB11QK0Z1SO7E
Adam Andrew Miller,Chevrolet,Bolt EV,2017,Gray,Hatchback,168 0MG,09ODJCCCQRC8TSQEU
Robyn Moore,Chevrolet,Caprice Classic,1993,Black,"Sedan, Wagon",EHE7912,JN58O1UVZH66NSVBW
Tanya Emma Edwards,Ford,Econoline E150 Cargo,1992,Green,Van/Minivan,VTD 767,OJA0V4JDAKHRH2MI4
Daniel Dylan Higgins,BMW,5 Series,2003,Black,"Sedan, Wagon",MPV 847,LCGGFZ86E0LUASF9H
