full_name,gender,ssn,years_lived,age,date_of_death,marital_status
George Aguirre,Male,840-35-9980,2044 - 2100,55,2100-01-01,Married
David Christopher White,Male,010-90-8819,2043 - 2099,55,2099-01-08,Married
Melissa Pamela Hicks,Female,334-42-2276,2041 - 2099,58,2099-10-09,Single
Jasmine Laura Bryant,Female,066-98-8729,2040 - 2096,55,2096-06-08,Married
Todd Nicholas Kerr,Male,036-59-4680,2056 - 2100,43,2100-01-01,Single
David Zachary Sullivan,Male,653-94-0988,2055 - 2100,44,2100-01-01,Married
Jeremy Daniel Santos,Male,413-84-9148,2044 - 2100,55,2100-01-01,Married
Jade Valerie Evans,Female,696-23-0132,2049 - 2100,50,2100-01-01,Single
Gwendolyn Cassidy Walton,Female,356-86-3756,2046 - 2100,53,2100-01-01,Married
Stephanie Kimberly White,Female,586-87-1250,2050 - 2100,49,2100-01-01,Married
Rebecca Kara Barron,Female,259-33-3186,2060 - 2100,39,2100-01-01,Single
Roger Lewis,Male,697-05-2344,2055 - 2100,44,2100-01-01,Married
Brian Lance Barnes,Male,423-63-5206,2049 - 2100,50,2100-01-01,Single
Sherri Rachel Gray,Female,069-07-1632,2049 - 2100,50,2100-01-01,Married
Brad Jamie Anderson,Male,606-54-2330,2045 - 2100,54,2100-01-01,Single
Melanie Elizabeth Jones,Female,209-66-6194,2055 - 2100,44,2100-01-01,Married
Joanna Elizabeth Cohen,Female,572-82-0360,2050 - 2099,49,2099-10-01,Married
Michael Jason Moody,Male,288-80-4390,2057 - 2100,42,2100-01-01,Married
Monica Kendra Cohen,Female,242-98-2396,2042 - 2099,56,2099-01-25,Married
Brian Martin Bowman,Male,559-84-4301,2043 - 2100,56,2100-01-01,Married
Marissa Katherine Johnson,Female,839-26-8257,2054 - 2100,45,2100-01-01,Single
Jamie Shelby White,Female,413-79-6672,2040 - 2100,59,2100-01-01,Married
Kathleen Craig,Female,837-20-9936,2053 - 2100,46,2100-01-01,Single
Joy Gail Rowe,Female,500-92-5856,2042 - 2100,57,2100-01-01,Single
Briana Evans,Female,539-73-1616,2059 - 2100,40,2100-01-01,Married
Wayne Page,Male,188-49-3332,2053 - 2100,46,2100-01-01,Single
Jessica Kristi Carson,Female,758-67-1951,2045 - 2100,54,2100-01-01,Married
William Ronald Walton,Male,574-37-0797,2055 - 2099,43,2099-02-22,Married
Michael Hector Barry,Male,432-88-2501,2049 - 2100,50,2100-01-01,Single
Hayden Tracy David,Male,121-77-9816,2051 - 2100,48,2100-01-01,Married
Devon Daniel Riley,Nonbinary,287-84-6376,2056 - 2099,42,2099-01-06,Single
Jason Michael Mitchell,Male,237-92-8509,2051 - 2099,47,2099-02-28,Single
Alisha Tanner,Female,809-81-0528,2041 - 2099,57,2099-07-29,Single
Eric Michael Evans,Male,274-32-1421,2044 - 2100,55,2100-01-01,Married
Julie Danielle Paul,Female,427-59-3632,2054 - 2099,44,2099-02-28,Married
Carolyn Grace Smith,Female,238-12-9676,2058 - 2099,40,2099-05-29,Single
Amy Wilson,Female,445-25-7081,2055 - 2100,44,2100-01-01,Married
Marvin Carlos Aguirre,Male,525-09-5053,2068 - 2099,30,2099-06-17,Single
Adam Francisco White,Male,813-87-5131,2078 - 2100,21,2100-01-01,Married
Adam Justin Copeland,Male,416-68-8153,2060 - 2099,38,2099-06-23,Married
Tyler Steven Paul,Male,165-74-0133,2064 - 2100,35,2100-01-01,Single
Joshua Alex White,Male,468-63-8967,2066 - 2099,33,2099-08-30,Married
Cheryl White,Female,803-28-8172,2061 - 2099,38,2099-07-30,Single
Duane Steven Bowman,Male,504-40-7168,2063 - 2100,36,2100-01-01,Married
Vickie Julie Copeland,Female,862-67-8631,2074 - 2100,25,2100-01-01,Married
David Munoz,Male,502-33-6210,2064 - 2099,35,2099-07-20,Single
Jacob Robert Munoz,Male,034-03-4357,2074 - 2099,25,2099-12-06,Married
Joseph Brandon Lewis,Male,125-56-1251,2071 - 2100,28,2100-01-01,Married
Kenneth Michael Jones,Male,523-68-8598,2064 - 2099,34,2099-04-01,Single
April Lisa Copeland,Female,878-46-2583,2092 - 2100,7,2100-01-01, 
Stephen Jeffrey White,Male,871-63-2027,2090 - 2100,9,2100-01-01, 
Zachary Jeffery Bowman,Male,519-89-1257,2089 - 2100,10,2100-01-01, 
