full_name,vehicle~make,vehicle~model,vehicle~year,vehicle~color,vehicle~body_type,vehicle~license_plate_num,vehicle~vin
Carla Kristen Frank,Subaru,Impreza,2006,Blue,"Wagon, Sedan",7-0926D,S6418M50URNB8T2M1
David Christopher White,Bentley,Mulsanne,2013,White,Sedan,909OGQ,OTACZ061GNQZVHROZ
Amy Shelley Brown,Pontiac,Solstice,2008,Red,Convertible,097IIB,KTFZX3DUJXVXPVDIK
Andre Anthony Copeland,Subaru,Loyale,1994,Green,Wagon,2UD G51,N2GXJNHPZM1HIFLRP
Melissa Pamela Hicks,Ford,Ranger Regular Cab,2003,Red,Pickup,588 6WJ,N69WEIJGT1B3FBZ3I
Jasmine Laura Bryant,Chevrolet,Silverado 3500 Crew Cab,2001,Blue,Pickup,09C 8509,H4CFO80W1PHQ256H1
Todd Nicholas Kerr,Chevrolet,Traverse,2015,Blue,SUV,V40-40I,Y9M10RFM1VJS3MIJU
Susan Amber Moody,Ram,ProMaster Cargo Van,2018,White,Van/Minivan,IE 19113,J82JB817D734NC2EZ
Deanna Cheryl Thomas,Pontiac,Grand Am,1994,Gray,"Sedan, Coupe",9ZP 502,1VYZXYZN47CIY08HL
David Zachary Sullivan,BMW,5 Series,2003,Black,"Sedan, Wagon",629 LVV,WPSFGYA2HVP4NH8EF
Janet Stacy Perez,Volvo,V70,2000,White,Wagon,8LD X16,9MQRIHDS8YCO0UYRF
Jeremy Daniel Santos,Freightliner,Sprinter 2500 Cargo,2013,Orange,Van/Minivan,7SJS 20,B8ARS49ROF044R30E
Andrea Susan Mckenzie,Hyundai,Tucson,2018,Black,SUV,942 YIS,UACG39AUZ2U0R67BE
Jade Valerie Evans,Saab,9-2X,2006,Black,Wagon,LOH 164,F7NG6MXRWIEA4WNYV
Edwin Michael Paul,Volkswagen,e-Golf,2018,Blue,Hatchback,FQC-6664,IB21Z8DDNBPSTSAA9
Emily Lisa Hill,GMC,Sierra 3500 Extended Cab,2001,Silver,Pickup,MVF 524,Q4Z34WEW5MS2PI513
Darrell Eduardo White,Dodge,Spirit,1995,White,Sedan,880-OSW,QHBFYVAU3YN37I4W9
Gwendolyn Cassidy Walton,Saturn,L-Series,2002,Black,"Sedan, Wagon",V 575430,AGALX0T9MH2BLA0ZJ
Nicole Thomas,Toyota,Highlander,2013,Tan,SUV,639 KRG,GDEEN4YAEFJHVKDZT
Stephanie Kimberly White,Suzuki,Aerio,2006,White,"Sedan, Wagon",7ES W96,FLMNZTBAXGPXBO8MW
Holly Kayla Hopkins,Ford,Transit 350 Wagon,2015,Red,Van/Minivan,CHC-7711,Q4O4X0H8KINUBYRO2
Thomas Coleman,Nissan,Titan King Cab,2019,Blue,Pickup,11O•017,EQHYG807NH91O2515
Teresa Terry Jordan,Volvo,S60,2006,White,Sedan,TE5 X9C,TSAUUJNVT3U08XDGK
Brandy Victoria Ward,Chrysler,Concorde,1999,Gray,Sedan,8-4951N,0G4IX7KFFYEG6Y0PR
James Michael Bowman,BMW,M3,1999,Black,"Coupe, Convertible",996 GLX,O1PCK6BSWND484PJW
Brittany Angela Munoz,Lincoln,Navigator,2006,White,SUV,0UI A02,EWJDQRILM04LBKXAY
Rebecca Kara Barron,MINI,Countryman,2015,White,Hatchback,650 INJ,CIV1H61B3G8K3I4LJ
Mark Brendan Martinez,Rolls-Royce,Ghost,2014,Black,Sedan,L36-06I,7SDB947W7BV2PNFW7
Omar Daniel Thompson,Suzuki,Kizashi,2013,Green,Sedan,KZ 0635,W54R1K5JW5CGSPGUU
Jay Richard Castillo,MAZDA,626,2000,Gray,Sedan,CXB-330,Z2ECNNFKJ8T5WB9M3
Brian Lance Barnes,Mercedes-Benz,Mercedes-AMG GLS,2018,Gray,SUV,7ZG K18,AAP7SAYV295YF93Z7
Sherri Rachel Gray,Toyota,Highlander,2006,Red,SUV,UID 0813,P0AQPJCFJ75X47QBJ
Stephanie Catherine Patterson,GMC,Savana 1500 Cargo,1999,Red,Van/Minivan,246 JUI,MA6V8J963FNG83J6T
Brad Jamie Anderson,Suzuki,Kizashi,2012,Blue,Sedan,QYK 144,6TOPL6KBNSN8YZGA3
Melanie Elizabeth Jones,Ford,Expedition EL,2017,Silver,SUV,0ZM 550,LM9R4D1VZFURCS4HR
Jennifer Rebecca Vincent,Chevrolet,Corvette,2018,Black,"Coupe, Convertible",1-H6799,5MI6Z9ELEC5OKNHBP
Jessica Sara Olson,Ford,Taurus,1999,Black,"Sedan, Wagon",991CE,58EJC40MTOIN8YAGI
Brittany Katrina Reese,Dodge,Durango,2016,Black,SUV,900 SGF,QC01XWGX5LQ3H5K1W
Kimberly Caroline Young,MAZDA,B-Series Extended Cab,2009,White,Pickup,LDC-083,Z7GF66JJCQ8C2TSHX
Brittany Kimberly Hall,Mitsubishi,Mirage,2002,Black,Coupe,3A515,Z9WVD363WZHOHWPXB
Adam Scott Frank,BMW,X2,2018,Gray,SUV,JOT-772,4DABNIWVTQSZB357X
Michael Jason Moody,Lexus,UX,2019,White,SUV,BX 76992,BZM5TAFC3IX9JGI22
Monica Kendra Cohen,GMC,Yukon XL 1500,2013,Gray,SUV,393-INZ,BQILRZWW99MDBBL9E
Brian Martin Bowman,Jaguar,S-Type,2007,Red,Sedan,82M 930,FXWDS0MT8GJMXL3CS
Tony Jonathan Gray,Ford,Flex,2013,Red,SUV,34N Y39,VHNV3DCP6DQKWSO2K
