date,description,amount,balance
2023-01-03 10:45:02,Foodr - Payment,$-146.76,$427.36
2023-01-09 19:13:55,Fitr - Payment,$-65.71,$361.65
2023-01-10 13:58:45,Foodr - Payment,$-37.47,$324.18
2023-01-11 10:34:22,Foodr - Payment,$-30.99,$293.19
2023-01-12 12:19:39,Foodr - Payment,$-194.69,$98.50
2023-01-15 11:49:48,StrongLink - Payment,$-71.94,$26.56
2023-01-16 21:08:20,Invalid Withdrawal,$0.00,$26.56
2023-01-17 19:56:39,Invalid Withdrawal,$0.00,$26.56
2023-01-19 20:29:32,Invalid Withdrawal,$0.00,$26.56
2023-02-02 17:22:00,Invalid Withdrawal,$0.00,$26.56
2023-02-09 11:24:47,Invalid Withdrawal,$0.00,$26.56
2023-02-14 09:06:26,Invalid Withdrawal,$0.00,$26.56
2023-02-24 11:38:24,Invalid Withdrawal,$0.00,$26.56
2023-02-27 12:21:19,Invalid Withdrawal,$0.00,$26.56
2023-03-01 16:10:50,Invalid Withdrawal,$0.00,$26.56
2023-03-05 20:37:24,Invalid Withdrawal,$0.00,$26.56
2023-03-07 10:05:30,Invalid Withdrawal,$0.00,$26.56
2023-03-09 14:44:45,Invalid Withdrawal,$0.00,$26.56
2023-03-10 10:15:46,Invalid Withdrawal,$0.00,$26.56
2023-03-20 12:01:16,Invalid Withdrawal,$0.00,$26.56
2023-03-22 18:42:19,Invalid Withdrawal,$0.00,$26.56
2023-03-23 18:24:09,Invalid Withdrawal,$0.00,$26.56
2023-03-27 15:01:22,Invalid Withdrawal,$0.00,$26.56
2023-04-05 19:05:36,Invalid Withdrawal,$0.00,$26.56
2023-04-19 10:58:21,Invalid Withdrawal,$0.00,$26.56
2023-04-25 08:41:13,Invalid Withdrawal,$0.00,$26.56
2023-05-06 21:28:05,Invalid Withdrawal,$0.00,$26.56
2023-05-08 17:55:39,Invalid Withdrawal,$0.00,$26.56
2023-05-09 15:08:04,Invalid Withdrawal,$0.00,$26.56
