date,description,amount,balance
2023-01-01 10:50:20,StrongLink - Payment,$-49.85,"$5,285.93"
2023-01-02 12:59:01,AffordableHub - Payment,$-123.72,"$5,162.21"
2023-01-03 16:48:58,AffordableHub - Payment,$-69.41,"$5,092.80"
2023-01-04 12:33:40,StrongLink - Payment,$-75.73,"$5,017.07"
2023-01-05 09:57:04,StrongLink - Payment,$-91.49,"$4,925.58"
2023-01-07 08:06:20,StrongLink - Payment,$-81.65,"$4,843.93"
2023-01-09 15:38:54,Fitr - Payment,$-68.91,"$4,775.02"
2023-01-11 12:27:15,Flexin - Payment,$-35.94,"$4,664.52"
2023-01-11 18:50:22,AffordableHub - Payment,$-74.56,"$4,700.46"
2023-01-12 13:05:13,AffordableHub - Payment,$-172.54,"$4,491.98"
2023-01-12 16:03:52,StrongLink - Payment,$-166.95,"$4,325.03"
2023-01-14 17:22:08,Flexin - Payment,$-72.57,"$4,252.46"
2023-01-15 20:26:22,StrongLink - Payment,$-90.58,"$4,161.88"
2023-01-17 10:18:22,StrongLink - Payment,$-166.92,"$3,805.29"
2023-01-17 14:12:29,AffordableHub - Payment,$-189.67,"$3,972.21"
2023-01-19 17:38:07,StrongLink - Payment,$-183.88,"$3,621.41"
2023-01-20 09:26:10,StrongLink - Payment,$-55.40,"$3,566.01"
2023-01-22 19:18:10,AffordableHub - Payment,$-167.33,"$3,398.68"
2023-01-28 08:14:03,StrongLink - Payment,$-144.97,"$3,253.71"
2023-01-31 14:25:49,Flexin - Payment,$-63.21,"$3,190.50"
2023-02-01 18:06:38,StrongLink - Payment,$-149.85,"$3,040.65"
2023-02-06 08:17:44,StrongLink - Payment,$-167.29,"$2,793.48"
2023-02-06 15:55:33,AffordableHub - Payment,$-79.88,"$2,960.77"
2023-02-07 21:53:20,StrongLink - Payment,$-131.48,"$2,662.00"
2023-02-09 17:56:04,AffordableHub - Payment,$-34.28,"$2,627.72"
2023-02-11 20:54:32,StrongLink - Payment,$-132.86,"$2,494.86"
2023-02-14 12:44:17,StrongLink - Payment,$-153.17,"$2,341.69"
2023-02-16 08:21:21,StrongLink - Payment,$-180.88,"$2,160.81"
2023-02-17 17:43:09,Fitr - Payment,$-53.67,"$2,107.14"
2023-02-19 09:57:27,AffordableHub - Payment,$-58.69,"$2,048.45"
2023-02-19 13:08:33,StrongLink - Payment,$-100.44,"$1,948.01"
2023-02-20 09:26:31,StrongLink - Payment,$-134.65,"$1,813.36"
2023-02-23 14:01:07,StrongLink - Payment,$-46.72,"$1,766.64"
2023-02-25 16:30:20,StrongLink - Payment,$-193.30,"$1,573.34"
2023-02-28 10:22:22,StrongLink - Payment,$-165.36,"$1,407.98"
2023-03-02 14:10:39,StrongLink - Payment,$-116.19,"$1,291.79"
2023-03-08 12:10:56,AffordableHub - Payment,$-62.93,"$1,228.86"
2023-03-10 13:54:03,AffordableHub - Payment,$-21.44,"$1,207.42"
2023-03-10 21:53:09,StrongLink - Payment,$-182.50,"$1,024.92"
