date,description,amount,balance
2023-01-01 12:34:55,AffordableHub - Payment,$-130.90,"$35,652.65"
2023-01-05 19:31:57,StrongLink - Payment,$-35.20,"$35,617.45"
2023-01-06 20:43:42,AffordableHub - Payment,$-114.80,"$35,502.65"
2023-01-07 18:20:01,AffordableHub - Payment,$-157.78,"$35,344.87"
2023-01-15 10:37:52,AffordableHub - Payment,$-187.70,"$35,157.17"
2023-01-20 16:11:12,AffordableHub - Payment,$-79.98,"$35,077.19"
2023-01-22 21:22:36,Flexin - Payment,$-183.70,"$34,893.49"
2023-01-28 12:23:01,AffordableHub - Payment,$-199.90,"$34,693.59"
2023-02-12 13:45:01,Flexin - Payment,$-48.88,"$34,644.71"
2023-02-16 11:36:36,AffordableHub - Payment,$-27.21,"$34,617.50"
2023-02-21 11:07:13,Healthn - Payment,$-91.87,"$34,525.63"
2023-03-01 21:21:47,AffordableHub - Payment,$-61.72,"$34,463.91"
2023-03-04 21:46:33,Flexin - Payment,$-98.79,"$34,365.12"
2023-03-06 14:57:34,Flexin - Payment,$-193.79,"$34,024.50"
2023-03-06 20:35:12,AffordableHub - Payment,$-146.83,"$34,218.29"
2023-03-12 15:22:25,AffordableHub - Payment,$-80.96,"$33,943.54"
2023-03-12 21:31:03,Flexin - Payment,$-100.28,"$33,843.26"
2023-03-18 12:48:55,Flexin - Payment,$-47.39,"$33,755.17"
2023-03-18 21:54:03,Foodr - Payment,$-40.70,"$33,802.56"
2023-03-19 09:51:15,AffordableHub - Payment,$-100.17,"$33,655.00"
2023-03-20 13:15:48,AffordableHub - Payment,$-56.20,"$33,598.80"
2023-03-24 08:00:29,AffordableHub - Payment,$-159.69,"$33,439.11"
2023-03-24 15:38:28,Flexin - Payment,$-123.22,"$33,315.89"
2023-03-26 14:45:44,AffordableHub - Payment,$-70.16,"$33,245.73"
2023-03-26 20:17:09,Flexin - Payment,$-121.85,"$33,123.88"
2023-03-29 10:52:51,Flexin - Payment,$-85.34,"$33,038.54"
2023-03-30 16:34:59,youGrocery - Payment,$-117.50,"$32,921.04"
2023-04-01 18:58:19,Flexin - Payment,$-148.93,"$32,772.11"
2023-04-02 12:42:20,AffordableHub - Payment,$-149.56,"$32,622.55"
2023-04-04 11:50:18,Flexin - Payment,$-156.41,"$32,466.14"
2023-04-05 13:44:30,Flexin - Payment,$-170.66,"$32,295.48"
2023-04-07 11:50:56,AffordableHub - Payment,$-25.49,"$32,269.99"
2023-04-10 10:21:37,AffordableHub - Payment,$-41.45,"$32,228.54"
2023-04-10 13:48:41,Flexin - Payment,$-87.77,"$32,140.77"
2023-04-11 13:34:13,StrongLink - Payment,$-174.10,"$31,939.00"
2023-04-11 16:17:01,AffordableHub - Payment,$-27.67,"$32,113.10"
2023-04-12 15:00:58,AffordableHub - Payment,$-175.89,"$31,763.11"
2023-04-16 10:11:01,StrongLink - Payment,$-122.31,"$31,640.80"
2023-04-17 15:28:47,AffordableHub - Payment,$-95.11,"$31,545.69"
2023-04-18 17:13:05,AffordableHub - Payment,$-173.90,"$31,371.79"
2023-04-20 19:29:15,AffordableHub - Payment,$-132.91,"$31,238.88"
2023-04-22 20:27:40,AffordableHub - Payment,$-89.45,"$31,149.43"
2023-04-27 09:03:28,Flexin - Payment,$-140.62,"$31,008.81"
2023-05-02 12:50:54,AffordableHub - Payment,$-89.13,"$30,919.68"
2023-05-07 08:08:47,Healthn - Payment,$-138.84,"$30,780.84"
2023-05-09 08:46:01,AffordableHub - Payment,$-105.57,"$30,675.27"
2023-05-10 08:51:14,Flexin - Payment,$-136.80,"$30,538.47"
2023-05-13 09:38:27,Flexin - Payment,$-113.26,"$30,425.21"
2023-05-14 11:49:45,Flexin - Payment,$-159.41,"$30,265.80"
2023-05-15 10:31:18,Flexin - Payment,$-196.99,"$30,068.81"
2023-05-18 20:04:36,StrongLink - Payment,$-29.67,"$30,039.14"
2023-05-26 16:17:05,Flexin - Payment,$-39.58,"$29,999.56"
2023-06-05 14:24:55,AffordableHub - Payment,$-172.40,"$29,827.16"
2023-06-05 15:01:01,Flexin - Payment,$-41.82,"$29,785.34"
2023-06-07 09:31:25,AffordableHub - Payment,$-33.56,"$29,751.78"
2023-06-09 10:45:55,Fitr - Payment,$-107.10,"$29,644.68"
2023-06-15 19:26:33,AffordableHub - Payment,$-53.59,"$29,591.09"
2023-06-26 10:32:14,AffordableHub - Payment,$-53.71,"$29,537.38"
2023-06-27 21:45:52,Fitr - Payment,$-86.93,"$29,450.45"
2023-06-28 14:07:21,AffordableHub - Payment,$-22.13,"$29,428.32"
2023-06-29 10:42:53,Fitr - Payment,$-167.22,"$29,261.10"
2023-06-30 08:26:03,Fitr - Payment,$-141.57,"$29,119.53"
2023-07-02 21:10:33,Flexin - Payment,$-58.15,"$29,061.38"
2023-07-04 16:09:21,StrongLink - Payment,$-31.47,"$29,029.91"
2023-07-20 15:01:21,Flexin - Payment,$-144.33,"$28,885.58"
2023-07-21 08:59:03,AffordableHub - Payment,$-110.90,"$28,774.68"
2023-07-26 21:34:42,Flexin - Payment,$-67.87,"$28,706.81"
2023-08-06 17:49:40,Healthn - Payment,$-44.11,"$28,662.70"
2023-08-09 08:51:12,Fitr - Payment,$-81.14,"$28,581.56"
2023-08-13 11:35:58,Flexin - Payment,$-50.92,"$28,530.64"
2023-08-17 18:41:36,AffordableHub - Payment,$-150.67,"$28,379.97"
2023-08-18 12:25:18,Flexin - Payment,$-22.53,"$28,357.44"
2023-08-21 10:55:02,Foodr - Payment,$-185.44,"$28,172.00"
