date,description,amount,balance
2023-01-01 10:16:41,Purchase by Bob Lewis,$90.93,"$301,774.43"
2023-01-01 18:29:12,Purchase by Sara Walker,$28.12,"$301,683.50"
2023-01-01 21:43:28,Purchase by Jonathon Bryant,$129.44,"$301,903.87"
2023-01-02 13:04:40,Purchase by Sarah Bryant,$102.21,"$302,132.76"
2023-01-02 18:27:23,Purchase by Kim Nunez,$63.97,"$302,030.55"
2023-01-02 18:40:13,Purchase by Mike Gomez,$62.71,"$301,966.58"
2023-01-03 08:35:29,Purchase by Cassie Garcia,$106.87,"$302,696.75"
2023-01-03 16:17:30,Purchase by Mike Gomez,$135.47,"$302,401.05"
2023-01-03 20:44:25,Purchase by Betsy Nunez,$132.82,"$302,265.58"
2023-01-03 20:58:00,Purchase by Terri Gonzalez,$188.83,"$302,589.88"
2023-01-03 21:45:07,Purchase by Becky Calhoun,$63.96,"$302,760.71"
2023-01-04 08:44:07,Purchase by Patricia Wilkerson,$175.75,"$303,102.42"
2023-01-04 10:07:16,Purchase by Albert Gilbert,$122.11,"$303,224.53"
2023-01-04 10:12:15,Purchase by Crissy Bryant,$188.39,"$303,728.31"
2023-01-04 15:49:18,Purchase by Mikayla Bryant,$129.93,"$303,539.92"
2023-01-04 18:36:04,Purchase by Stephanie Dominguez,$165.96,"$302,926.67"
2023-01-04 19:27:57,Purchase by Wayne Garcia,$185.46,"$303,409.99"
2023-01-05 11:22:51,Purchase by Gory Hayes,$75.88,"$304,015.27"
2023-01-05 15:31:12,Purchase by Jonathon Bryant,$184.63,"$304,199.90"
2023-01-05 16:38:41,Purchase by Angela Brown,$146.71,"$303,939.39"
2023-01-05 19:32:36,Purchase by James Phillips,$64.37,"$303,792.68"
2023-01-06 00:00:00,Betsy Nunez - Payment,"$-3,000.00","$301,199.90"
2023-01-06 11:02:27,Purchase by Kim Nunez,$130.11,"$301,520.20"
2023-01-06 15:40:30,Purchase by Stephanie Dominguez,$48.28,"$301,248.18"
2023-01-06 18:09:29,Purchase by Sara Walker,$141.91,"$301,390.09"
2023-01-07 16:09:48,Purchase by Betsy Nunez,$33.58,"$301,553.78"
2023-01-07 20:53:53,Purchase by Stephanie Dominguez,$187.50,"$301,741.28"
2023-01-07 21:22:09,Purchase by Lena Hartman,$140.00,"$301,881.28"
2023-01-08 11:53:44,Purchase by Andrea Phillips,$143.95,"$302,025.23"
2023-01-08 12:11:41,Purchase by Amber Calhoun,$171.57,"$302,196.80"
2023-01-08 13:39:48,Purchase by Davey Wilson,$177.86,"$302,374.66"
2023-01-08 14:42:29,Purchase by Thys Hayes,$134.50,"$302,509.16"
2023-01-08 17:17:08,Purchase by Jonathon Bryant,$97.87,"$302,607.03"
2023-01-08 18:50:03,Purchase by Thomas Brown,$42.96,"$302,649.99"
2023-01-09 11:03:46,Purchase by Emmy Garcia,$42.47,"$302,692.46"
2023-01-10 13:14:18,Purchase by Gerald Osborne,$39.12,"$302,731.58"
2023-01-10 16:29:55,Purchase by Lindy Tucker,$69.42,"$302,801.00"
2023-01-10 21:56:48,Purchase by Bob Lewis,$79.22,"$302,880.22"
2023-01-11 13:26:52,Purchase by Mel Green,$111.90,"$302,992.12"
2023-01-11 13:28:49,Purchase by Amber Calhoun,$24.20,"$303,153.26"
2023-01-11 14:00:58,Purchase by Gory Hayes,$110.31,"$303,263.57"
2023-01-11 19:44:10,Purchase by Gabrielle Glover,$136.94,"$303,129.06"
2023-01-12 09:53:07,Purchase by Mel Green,$140.46,"$303,404.03"
2023-01-12 13:38:33,Purchase by Cassie Garcia,$128.60,"$303,532.63"
2023-01-12 14:24:26,Purchase by Jonathon Bryant,$132.62,"$303,665.25"
2023-01-13 00:00:00,Betsy Nunez - Payment,"$-3,000.00","$300,725.24"
2023-01-13 08:05:47,Purchase by Katherine Calhoun,$20.28,"$301,194.42"
2023-01-13 08:41:54,Purchase by Bennie Phillips,$199.46,"$301,024.26"
2023-01-13 08:47:58,Purchase by Lena Hartman,$99.56,"$300,824.80"
2023-01-13 08:50:25,Purchase by Becky Calhoun,$53.53,"$301,174.14"
2023-01-13 11:58:25,Purchase by Thys Hayes,$162.54,"$301,356.96"
2023-01-13 13:36:27,Purchase by Betsy Nunez,$59.99,"$303,725.24"
2023-01-13 20:14:29,Purchase by Cassie Daniel,$96.35,"$301,120.61"
2023-01-14 11:55:50,Purchase by Angela Brown,$98.72,"$301,630.05"
2023-01-14 13:57:10,Purchase by Lindy Tucker,$50.17,"$301,407.13"
2023-01-14 19:01:43,Purchase by Curt Porter,$124.20,"$301,531.33"
2023-01-14 20:02:49,Purchase by Becky Calhoun,$140.21,"$301,770.26"
2023-01-15 11:43:19,Purchase by Lena Hartman,$112.94,"$301,883.20"
2023-01-15 18:01:32,Purchase by Mickey Key,$170.42,"$302,053.62"
2023-01-16 18:19:00,Purchase by Betsy Nunez,$117.30,"$302,170.92"
2023-01-16 19:49:29,Purchase by Jonathon Bryant,$110.30,"$302,281.22"
2023-01-17 09:04:50,Purchase by Jonathon Hayes,$61.79,"$302,343.01"
2023-01-17 09:38:00,Purchase by Becky Calhoun,$74.55,"$302,488.21"
2023-01-17 13:42:25,Purchase by Amber Calhoun,$70.65,"$302,413.66"
2023-01-18 10:22:04,Purchase by Emmy Garcia,$157.25,"$302,844.86"
2023-01-18 11:59:05,Purchase by Jonathon Hayes,$162.63,"$303,007.49"
2023-01-18 18:01:24,Purchase by Mike Gomez,$199.40,"$302,687.61"
2023-01-18 21:18:13,Purchase by Mikayla Bryant,$29.20,"$303,036.69"
2023-01-18 21:29:51,Purchase by Jonathon Bryant,$117.84,"$303,154.53"
2023-01-19 13:08:05,Purchase by Linda Nelson,$32.65,"$303,187.18"
2023-01-19 15:54:11,Purchase by Becky Calhoun,$95.70,"$303,632.79"
2023-01-19 17:04:29,Purchase by Mickey Key,$60.70,"$303,537.09"
2023-01-19 18:56:27,Purchase by Jonathon Bryant,$124.54,"$303,757.33"
2023-01-19 19:23:05,Purchase by Patricia Wilkerson,$117.64,"$303,304.82"
2023-01-19 21:38:57,Purchase by Kim Hahn,$171.57,"$303,476.39"
2023-01-20 00:00:00,Betsy Nunez - Payment,"$-3,000.00","$300,757.33"
2023-01-20 09:01:07,Purchase by Bob Lewis,$146.76,"$300,943.41"
2023-01-20 11:02:16,Purchase by Cassie Garcia,$39.32,"$300,796.65"
2023-01-21 08:53:53,Purchase by Kim Hahn,$77.71,"$301,158.45"
2023-01-21 13:51:20,Purchase by Jonathon Bryant,$21.75,"$301,180.20"
2023-01-21 19:52:34,Purchase by Adam Solomon,$137.33,"$301,080.74"
2023-01-21 20:25:23,Purchase by Dicey Green,$82.58,"$301,262.78"
2023-01-22 15:01:08,Purchase by Hannah Phillips,$165.74,"$301,554.42"
2023-01-22 21:44:48,Purchase by Mel Green,$125.90,"$301,388.68"
2023-01-23 12:33:04,Purchase by Mike Calhoun,$198.16,"$301,958.21"
2023-01-23 15:27:03,Purchase by Betsy Nunez,$123.77,"$301,678.19"
2023-01-23 20:03:46,Purchase by Mike Gomez,$81.86,"$301,760.05"
2023-01-24 12:02:39,Purchase by Mickey Key,$83.40,"$302,080.91"
2023-01-24 13:02:54,Purchase by Kim Hahn,$39.30,"$301,997.51"
2023-01-24 17:27:28,Purchase by Becky Calhoun,$105.61,"$302,186.52"
2023-01-26 10:12:39,Purchase by Kim Hahn,$130.85,"$302,463.67"
2023-01-26 10:36:42,Purchase by Mike Gomez,$146.30,"$302,332.82"
2023-01-26 13:15:21,Purchase by Katherine Calhoun,$178.79,"$302,642.46"
2023-01-27 00:00:00,Betsy Nunez - Payment,"$-3,000.00","$299,642.46"
2023-01-27 10:40:30,Purchase by Albert Gilbert,$131.14,"$299,773.60"
2023-01-28 08:59:48,Purchase by Cassie Garcia,$99.70,"$299,873.30"
2023-01-28 11:06:52,Purchase by Hannah Phillips,$114.80,"$299,988.10"
2023-01-29 12:47:49,Purchase by April Hayes,$48.81,"$300,134.27"
