date,description,amount,balance
2023-01-03 12:08:27,Flexin - Payment,$-174.28,"$48,074.24"
2023-01-04 08:44:07,Healthn - Payment,$-175.75,"$47,898.49"
2023-01-05 21:01:24,Flexin - Payment,$-23.30,"$47,875.19"
2023-01-06 00:00:00,Purchase by AffordableHub,"$1,000.00","$48,875.19"
2023-01-11 08:31:28,youGrocery - Payment,$-108.11,"$48,767.08"
2023-01-13 00:00:00,Purchase by AffordableHub,"$1,000.00","$49,767.08"
2023-01-16 17:52:57,StrongLink - Payment,$-147.30,"$49,619.78"
2023-01-19 19:23:05,Healthn - Payment,$-117.64,"$49,502.14"
2023-01-20 00:00:00,Purchase by AffordableHub,"$1,000.00","$50,502.14"
2023-01-26 09:09:49,Flexin - Payment,$-108.15,"$50,393.99"
2023-01-27 00:00:00,Purchase by AffordableHub,"$1,000.00","$51,337.72"
2023-01-27 16:45:06,StrongLink - Payment,$-56.27,"$50,337.72"
2023-01-28 10:19:01,Flexin - Payment,$-42.26,"$51,295.46"
2023-01-29 09:39:59,StrongLink - Payment,$-77.81,"$51,217.65"
2023-01-30 19:05:56,Flexin - Payment,$-42.83,"$51,174.82"
2023-02-03 00:00:00,Purchase by AffordableHub,"$1,000.00","$52,174.82"
2023-02-05 16:59:07,youGrocery - Payment,$-178.29,"$51,996.53"
2023-02-07 11:38:59,youGrocery - Payment,$-41.74,"$51,954.79"
2023-02-09 09:18:01,Flexin - Payment,$-88.69,"$51,866.10"
2023-02-10 00:00:00,Purchase by AffordableHub,"$1,000.00","$52,866.10"
2023-02-11 09:08:59,Flexin - Payment,$-71.45,"$52,794.65"
2023-02-12 18:34:53,Flexin - Payment,$-109.81,"$52,684.84"
2023-02-13 09:06:36,Flexin - Payment,$-130.96,"$52,553.88"
2023-02-16 19:37:40,youGrocery - Payment,$-87.74,"$52,466.14"
2023-02-17 00:00:00,Purchase by AffordableHub,"$1,000.00","$53,365.43"
2023-02-17 16:31:58,Flexin - Payment,$-100.71,"$52,365.43"
2023-02-22 20:12:34,Flexin - Payment,$-195.83,"$53,169.60"
2023-02-24 00:00:00,Purchase by AffordableHub,"$1,000.00","$54,169.60"
2023-03-02 14:17:10,Flexin - Payment,$-99.63,"$54,069.97"
2023-03-03 00:00:00,Purchase by AffordableHub,"$1,000.00","$55,069.97"
2023-03-06 21:38:37,Flexin - Payment,$-141.24,"$54,928.73"
2023-03-08 15:03:51,youGrocery - Payment,$-147.30,"$54,781.43"
2023-03-10 00:00:00,Purchase by AffordableHub,"$1,000.00","$55,781.43"
2023-03-11 10:06:28,Flexin - Payment,$-48.96,"$55,732.47"
2023-03-15 08:29:57,StrongLink - Payment,$-153.82,"$55,578.65"
2023-03-16 10:17:09,Flexin - Payment,$-91.13,"$55,487.52"
2023-03-17 00:00:00,Purchase by AffordableHub,"$1,000.00","$56,296.19"
2023-03-17 16:38:04,Flexin - Payment,$-191.33,"$55,296.19"
2023-03-18 09:13:09,youGrocery - Payment,$-97.11,"$56,199.08"
2023-03-19 13:42:14,Healthn - Payment,$-41.88,"$56,157.20"
2023-03-21 16:27:40,youGrocery - Payment,$-148.88,"$56,008.32"
2023-03-22 21:28:59,Foodr - Payment,$-130.74,"$55,877.58"
2023-03-23 18:15:54,StrongLink - Payment,$-91.22,"$55,786.36"
2023-03-24 00:00:00,Purchase by AffordableHub,"$1,000.00","$56,786.36"
2023-03-25 21:23:51,youGrocery - Payment,$-130.24,"$56,656.12"
2023-03-27 20:47:31,Flexin - Payment,$-171.93,"$56,484.19"
2023-03-28 11:25:12,Flexin - Payment,$-49.36,"$56,434.83"
2023-03-31 00:00:00,Purchase by AffordableHub,"$1,000.00","$57,434.83"
2023-04-03 09:23:50,youGrocery - Payment,$-154.45,"$57,280.38"
2023-04-04 20:42:27,youGrocery - Payment,$-85.27,"$57,195.11"
2023-04-07 00:00:00,Purchase by AffordableHub,"$1,000.00","$58,195.11"
2023-04-10 20:31:17,Flexin - Payment,$-29.66,"$58,165.45"
2023-04-13 08:50:22,Flexin - Payment,$-82.87,"$58,082.58"
2023-04-14 00:00:00,Purchase by AffordableHub,"$1,000.00","$59,082.58"
2023-04-16 12:25:30,Flexin - Payment,$-175.34,"$58,907.24"
2023-04-19 19:59:57,youGrocery - Payment,$-74.80,"$58,832.44"
2023-04-19 20:54:36,Flexin - Payment,$-105.62,"$58,726.82"
2023-04-21 00:00:00,Purchase by AffordableHub,"$1,000.00","$59,726.82"
2023-04-23 15:51:26,Flexin - Payment,$-128.72,"$59,598.10"
2023-04-24 12:58:24,Flexin - Payment,$-123.72,"$59,474.38"
