full_name,vehicle~make,vehicle~model,vehicle~year,vehicle~color,vehicle~body_type,vehicle~license_plate_num,vehicle~vin
Donald Adam Brown
Ricardo Vincent Campbell,GMC,Sierra (Classic) 2500 HD Regular Cab,2007,Black,Pickup,DSU-311,VHPE461GAUAK2IYAH
Adam Black,Acura,TL,2005,Blue,Sedan,3340 IF,QOBJID3AL0KJNG408
Tony Joshua Peterson
Samuel Derek Davis,BMW,X6,2019,Gold,SUV,QMJ 376,5RIM6RAI88XNRQVP5
Alexander Atkins,Dodge,Ram Van 2500,1997,Gray,Van/Minivan,38B 3389,GK42GL2BSTIH9NIOA
Sara Amy Hall,Nissan,Titan Crew Cab,2006,Red,Pickup,818-111,H1Q4RYOPHJQRNZCCG
Jeremy Gary Gilmore
James Lee,Buick,Terraza,2005,Orange,Van/Minivan,8IZ 464,3VARVGQZPELC8MUFT
Debra Alexis James,Chevrolet,Express 2500 Cargo,1999,Black,Van/Minivan,LEF 909,GL1N3FI3F0QE1FDTL
