age,age_group,blood_type,blood_type_allele,body_mass_index,can_marry,can_work,children,date_of_birth,date_of_death,desired_gender,drivers_license,email,employer,eye_color,first_name,format_height,format_weight,full_name,gender,gender_abbr,generation,hair_color,hair_type,height,home,id,is_alive,is_working,last_name,maiden_name,mannerisms,marital_status,middle_name,negative_traits,neutral_traits,nickname,parents,passport,patron_of,pet,phone_number,positive_traits,role,sexual_orientation,siblings,spouse,ssn,time_of_birth,title,vehicle,weight,years_lived
75,Senior (Deceased),A+,AADD,26.7,True,True,[P3b4b],2024-09-27,2100-01-01,Female,Driver's License: V42MMVF3 - Exp: Oct 2100,Personal: dbrown@yakoo.com,Fund Invest (2098) - Finance: Investment Firm,Brown,Donald,"6' 1""",201 lbs,Donald Adam Brown,Male,M,3,Black,Frizzy,72.7,"Home: 7325 Wendy Ridge  - Apt. 888, Lake Christine, NM - 87391",P78ea,False,True,Brown,,Exhales sharply,Married,Adam,"Regimental, Lazy, Erratic",Solitary,Dony,[],Passport: B41710521 - Exp: Mar 2106,"[Speed Air (1915) - Transportation: Airline, LearnCenter High (2098) - Education: Public 10-12, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Invest Edge Finance (2087) - Finance: Bank, InvestTech Fund (2098) - Finance: Investment Firm, Select Store Gadget (2099) - Retail: Electronics, Delicious Eats Bistro (2095) - Food and Beverage: Restaurant, Well Care Care (2097) - Healthcare: Hospital, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (603) 788-7978,"Alert, Neat, Gracious",Employee: General,Heterosexual,[],Michelle Jill Brown (2037 - 2100),743-85-8935,01:20 PM,Mr.,Silver 2013 Audi S6 - Sedan - 75K Z19,201.1,2024 - 2100
70,Senior (Deceased),AB-,ABdd,23.8,True,True,[],2028-04-05,2099-01-01,Male,Driver's License: Q60IHAU8 - Exp: Jan 2105,Personal: antoniorivera45@outkook.com,YumCuisine Wheels (2096) - Food and Beverage: Food Truck,Brown,Antonio,"5' 5""",142 lbs,Antonio Adrian Rivera,Male,M,3,Blonde,Wavy,64.9,"Home: 90702 Little Drive, North Timothy, WI - 53841",P8356,False,True,Rivera,,Wears a scarf often,Single,Adrian,"Erratic, Unctuous, Inert",Aggressive,,[],Passport: W04464765 - Exp: Jan 2106,"[LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Star Quest Arena (2099) - Entertainment: Sports, Inno Produce (2096) - Technology: Manufacturers, Well Care Care (2097) - Healthcare: Hospital, Cine Productions (2099) - Entertainment: Film / TV, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, Play World News (2087) - Entertainment: Journalism, Style Flicks Play (2066) - Entertainment: Sports, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]","Animal(name='Tiger', animal_type='Cat', breed='Selkirk Rex', age=13, gender='Female')",Cell: (837) 734-0131,"Logical, Dynamic, Forthright",Manager: General,Homosexual,[],,876-02-2652,04:23 AM,Mr.,White 2006 Dodge Grand Caravan Cargo - Van/Minivan - D15 1MO,142.5,2028 - 2099
75,Senior,AB+,ABDd,23.8,True,True,[],2024-10-25,,Male,Driver's License: X49TEOF7 - Exp: Apr 2107,Personal: dsanchez772@kmail.com,EducateCampus Learn (2076) - Education: University,Hazel,Diana,"5' 6""",146 lbs,Diana Sarah Sanchez,Female,F,3,Brown,Wavy,65.6,"Home: 71401 Samuel Skyway  - Apt. 726, East Laurenchester, OH - 45331",P7093,True,True,Sanchez,,Apologizes often,Single,Sarah,"Delicate, Well-meaning, Pretentious",Restrained,,[],Passport: O45078578 - Exp: Dec 2106,"[Knowledge Elementary School (2097) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, DrivePath Motors (2096) - Automotive: Dealership, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Yum Delight Quick (2007) - Food and Beverage: Fast Food, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, Leisure Journey World (2046) - Hospitality: Theme Park, ExploreEscape Adventures (2097) - Hospitality: Other, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Willow', animal_type='Bird', breed=""Fischer's Lovebird"", age=9, gender='Female')",Cell: (774) 580-8453,"Conciliatory, Gallant, Providential",Employee: General,Heterosexual,[],,701-25-6115,08:55 PM,Ms.,Red 2020 Buick Encore - SUV - AO 0589,145.5,2024 -  
72,Senior (Deceased),B+,BBDd,28.5,True,True,"[Pc9bf, P7d92]",2027-06-18,2100-01-01,Female,Driver's License: Y07ZFMM1 - Exp: Dec 2107,Personal: jeffreybuck548@kmail.com,Finance Wise Wealth (2090) - Finance: Investment Firm,Brown,Jeffrey,"5' 8""",186 lbs,Jeffrey John Buck,Male,M,3,Black,Flowing,67.7,"Home: 624 Mitchell Shores  - Apt. 513, North Jessemouth, ID - 83560",P1512,False,True,Buck,,Sweats excessively,Married,John,"Dependent, Brittle, Ignorant",Ascetic,Jeff,[],Passport: B37864376 - Exp: Aug 2105,"[LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, Byte Solutions Hub (2091) - Technology: Social Media, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Code Sync Connect (2025) - Technology: Mobile Providers, Invest Edge Finance (2087) - Finance: Bank, Well Care Care (2097) - Healthcare: Hospital, Capital Edge Finance (2096) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (551) 317-4238,"Benevolent, Healthy, Self-defacing",Employee: General,Heterosexual,[],Robyn Moore (2022 - 2095),264-77-0832,09:20 PM,Mr.,,186.1,2027 - 2100
73,Senior,B+,BBDD,23.0,True,True,[],2026-06-24,,Male,Driver's License: C57UUQM2 - Exp: Jan 2105,Personal: mberry@outkook.com,TransitWays Boating (2065) - Transportation: Boat,Brown,Mary,"5' 6""",142 lbs,Mary Donna Norman,Female,F,3,Black,Unkempt,66.0,"Home: 33 Riley Summit  - Suite 518, Clinetown, NE - 68046",P7d9b,True,True,Norman,Berry,Points out when a song is off-key,Married,Donna,"Venomous, Ruined, Inconsiderate",Dry,,[],Passport: U83293030 - Exp: Nov 2101,"[Knowledge Elementary School (2097) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Play Pastime (2095) - Entertainment: Hobbies, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, Commute Express Courier (2073) - Transportation: Courier / Delivery, TrendOutlet Bulk (2074) - Retail: Wholesale, ExploreEscape Adventures (2097) - Hospitality: Other, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Dinero Finance (2090) - Finance: Bank, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (318) 127-9971,"Well-read, Peaceful, Eloquent",Employee: General,Heterosexual,[],David Michael Norman (2031 - 2099),729-23-4213,01:43 PM,Mrs.,White 2019 Land Rover Range Rover Sport - SUV - 956OM,142.4,2026 -  
67,Senior (Deceased),B+,BBDd,28.8,True,True,[],2032-06-08,2099-12-01,Male,Driver's License: A35DMWT6 - Exp: Jun 2097,Personal: trevorwalker@kmail.com,TasteEats Craft (2084) - Food and Beverage: Beverage Manufacture,Brown,Trevor,"5' 8""",186 lbs,Trevor Timothy Walker,Male,M,3,Brown,Flowing,67.5,"Home: 226 Andrews Knolls, North Josephfort, DE - 19885",P855b,False,True,Walker,,Scrambles around frantically,Married,Timothy,"Unctuous, Unlovable, Disobedient",Folksy,,[],Passport: V70774280 - Exp: Feb 2109,"[StudyPlace Primary (2096) - Education: Public K-6, LearnCenter High (2098) - Education: Public 10-12, DineroVault Crypto (2076) - Finance: Crypto, Style Pastime (1948) - Entertainment: Hobbies, Feast Sip Taste (2099) - Food and Beverage: Restaurant, AcademyHub Middle (2094) - Education: Public 7-9, Finance Vault Finance (2089) - Finance: Loans / Mortgage Lender, Inno Produce (2096) - Technology: Manufacturers, Taste Dine Bread (2090) - Food and Beverage: Bakery, Invest Edge Finance (2087) - Finance: Bank, CruiseGetaway Lodge (2096) - Hospitality: Hotels, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, Route Ways Commute (2085) - Transportation: Ride Sharing / Taxi, Tour Escape Stay (2099) - Hospitality: Hotels, Fund Invest (2098) - Finance: Investment Firm, Learn Center School (2098) - Education: Public K-6, LogicSolutions Wireless (2098) - Technology: Mobile Providers, Fund Hub Digital (2090) - Finance: Crypto]","Animal(name='Comet', animal_type='Dog', breed='Bergamasco Shepherd', age=14, gender='Female')",Cell: (202) 291-9818,"Athletic, Caring, Understanding",Employee: General,Homosexual,[],Todd Hartman (2031 -  ),482-35-6391,02:56 PM,Mr.,Black 2011 Toyota Tundra Regular Cab - Pickup - EJK-078,186.4,2032 - 2099
64,Senior,A+,AADD,21.9,True,True,[P016b],2035-04-07,,Male,Driver's License: W44IMJG8 - Exp: May 2099,Personal: cdowns813@yakoo.com,Cyber Solutions Connect (2061) - Technology: Mobile Providers,Brown,Crystal,"5' 6""",136 lbs,Crystal Ashlee Arias,Female,F,3,Black,Unkempt,66.2,"Home: 62099 Rocha Ford  - Apt. 566, East Alexandra, TX - 79886",Pec34,True,True,Arias,Downs,Stands with hands on hips,Married,Ashlee,"Extreme, Disobedient, Well-meaning",Paternalistic,,[],Passport: O38379735 - Exp: Jun 2104,"[CraveEats Desserts (2084) - Food and Beverage: Desserts, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, FinanceVault Capital (2084) - Finance: Bank, TransitPath Courier (2088) - Transportation: Courier / Delivery, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Play Pastime (2095) - Entertainment: Hobbies, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (565) 192-3306,"Challenging, Appreciative, Sociable",Manager: General,Heterosexual,[],Keith Brian Arias (2024 -  ),658-74-1141,04:38 PM,Mrs.,Black 2018 Subaru Legacy - Sedan - WM 31208,136.4,2035 -  
73,Senior (Deceased),B+,BODD,23.7,True,True,[],2026-01-18,2100-01-01,Male,Driver's License: V17BOEV5 - Exp: Dec 2102,Personal: mnewton953@kcloud.com,TransitPath Courier (2088) - Transportation: Courier / Delivery,Brown,Morgan,"5' 5""",144 lbs,Morgan Robin Newton,Female,F,3,Brown,Spiky,65.3,"Home: 975 Juarez Course  - Apt. 642, Lopezfort, IL - 62236",Pe005,False,True,Newton,,Points out when a song is off-key,Single,Robin,"Faithless, Ritualistic, Frightening",Crebral,,[],Passport: Q73395672 - Exp: Jan 2105,"[LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, City Wagon Rentals (2083) - Automotive: Rental, TrendOutlet Bulk (2074) - Retail: Wholesale, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, Dinero Finance (2090) - Finance: Bank, Tour Escape Stay (2099) - Hospitality: Hotels]","Animal(name='Tigger', animal_type='Cat', breed='Ocicat', age=13, gender='Female')",Cell: (595) 346-8755,"Charming, Suave, Accessible",Employee: General,Heterosexual,[],,851-64-3192,11:37 PM,Ms.,Blue 1998 GMC Savana 1500 Cargo - Van/Minivan - 490 4AM,143.8,2026 - 2100
78,Senior,B+,BODd,22.4,True,True,"[P5dfb, P40c2]",2021-01-08,,Male,Driver's License: R38BARZ4 - Exp: Jan 2105,Personal: andreawalters258@kmail.com,FitCare Doc (2018) - Healthcare: Doctor,Brown,Andrea,"5' 5""",136 lbs,Andrea Higgins,Female,F,3,Black,Curly,65.2,"Home: 77096 Fernando Stravenue, Fitzpatrickview, MD - 21205",P14dd,True,True,Higgins,Walters,Flexing fingers,Married,,"Disobedient, Expedient, Conventional",Soft,Rea,[],Passport: G02227324 - Exp: Nov 2102,"[WealthHub Invest (2097) - Finance: Investment Firm, LearnCenter High (2098) - Education: Public 10-12, FitCare Doc (2018) - Healthcare: Doctor, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, InvestTech Fund (2098) - Finance: Investment Firm, TrendOutlet Bulk (2074) - Retail: Wholesale, TransitWays Boating (2065) - Transportation: Boat, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, StayGetaway Explore (2096) - Hospitality: Other, LogicSolutions Wireless (2098) - Technology: Mobile Providers]",,Cell: (235) 937-7233,"Maticulous, Considerate, Loyal",Employee: General,Heterosexual,[],Daniel Dylan Higgins (2030 -  ),387-87-5828,02:21 AM,Mrs.,,135.7,2021 -  
72,Senior,A+,AADD,27.3,True,True,"[P5f5b, P1da8, P882a]",2027-10-31,,Male,Driver's License: L08HHGA2 - Exp: Jun 2102,Personal: tross27@hokmail.com,InvestTech Fund (2098) - Finance: Investment Firm,Brown,Taylor,"5' 1""",146 lbs,Taylor Karen Hart,Female,F,3,Brown,Unkempt,61.2,"Home: 43589 Daniel Mission, Smithland, FL - 34599",P8ed0,True,True,Hart,Ross,Interrupts others when passionate about the topic,Married,Karen,"Fearful, Easily Discouraged, Difficult",Busy,,[],Passport: G42928356 - Exp: May 2107,"[CraveEats Desserts (2084) - Food and Beverage: Desserts, LearnCenter High (2098) - Education: Public 10-12, FinanceVault Capital (2084) - Finance: Bank, Style Pastime (1948) - Entertainment: Hobbies, Fund Tech Bank (2093) - Finance: Bank, Play Pastime (2095) - Entertainment: Hobbies, Institute Place Trade (2090) - Education: Technical / Trade School, Inno Produce (2096) - Technology: Manufacturers, Relax Charm Clean (2088) - Hospitality: Cleaning Services, TrendOutlet Bulk (2074) - Retail: Wholesale, Well Care Care (2097) - Healthcare: Hospital, ExploreEscape Adventures (2097) - Hospitality: Other, Route Ways Transfer (2099) - Transportation: Relocation, Capital Edge Finance (2096) - Finance: Bank, Go Ways Rentals (2090) - Automotive: Rental, StayGetaway Explore (2096) - Hospitality: Other, KnowledgeCampus Middle (2098) - Education: Public 7-9, Dinero Finance (2090) - Finance: Bank, LogicSolutions Wireless (2098) - Technology: Mobile Providers]","Animal(name='Caramel', animal_type='Rabbit', breed='Belgian Hare', age=20, gender='Male')",Cell: (478) 219-7643,"Creative, Imaginative, Tractable",Owner: General,Heterosexual,[],Ricky David Hart (2031 -  ),562-41-5349,12:00 AM,Mrs.,Silver 2020 Nissan Kicks - SUV - 737-463,145.6,2027 -  
