first_name,middle_name,last_name,nickname,title,gender,sexual_orientation,ssn,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,passport_num,passport_issue_date,passport_exp_date,phone_number,email,home,vehicle,drivers_license,marital_status,spouse,age,full_name,gender_abbr,format_weight,format_height,vehicle_details
Donald,Adam,Brown,,Mr.,Male,Heterosexual,679-45-2176,2021-03-29,02:05 PM,,Black,Touseled,Hazel,63.0,154.2,Picks at nails,G08569942,2019-04-03,2029-04-03,Cell: (693) 254-1710,Personal: dbrown369@kcloud.com,"Home: 38028 Torres Glens - Suite 430, Elliottside, TN - 38456",White 2007 Dodge Dakota Quad Cab - Pickup - P24-TYP,"DriversLicense(number='C57YTUI5', issue_date=datetime.date(2022, 11, 19), exp_date=datetime.date(2030, 7, 25), restrictions='None')",Single,,,,,,,
Cathy,,James,,Ms.,Female,Homosexual,446-63-1021,2018-05-20,01:48 AM,,Brown,Unkempt,Grey,65.2,141.2,Rocking back and forth on heels,Y26011193,2015-06-04,2025-06-04,Cell: (631) 317-8610,Personal: cathyjames18@kmail.com,"Home: 15070 Erin Ferry, South Kelly, AZ - 86324","White 1996 Pontiac Sunfire - Sedan, Coupe, Convertible - 4-46476B","DriversLicense(number='A73WFQS4', issue_date=datetime.date(2021, 2, 6), exp_date=datetime.date(2029, 5, 14), restrictions='B - Corrective Lenses')",Single,,,,,,,
Luis,Jason,Owens,,Mr.,Male,Heterosexual,321-11-3869,2020-06-24,05:16 PM,,Blonde,Unkempt,Hazel,77.5,175.8,Remains sober at parties,K62231768,2018-11-28,2028-11-28,Cell: (188) 143-0229,Personal: lowens20@kmail.com,"Home: 0931 Carla Drive - Suite 421, Hebertville, AR - 72885","Silver 2001 Dodge Stratus - Coupe, Sedan - 1XT50","DriversLicense(number='Z19PQAX1', issue_date=datetime.date(2024, 1, 8), exp_date=datetime.date(2028, 12, 18), restrictions='B - Corrective Lenses')",Single,,,,,,,
Tammy,Cynthia,Sims,,Ms.,Female,Heterosexual,223-81-0894,1958-04-08,07:48 PM,,Blonde,Touseled,Brown,59.3,133.3,Looks down when walking,B54777207,2019-09-22,2029-09-22,Cell: (597) 380-1670,Personal: tsims58@outkook.com,"Home: 578 Moon Crossroad - Suite 919, Schmidtport, AK - 99667",Silver 2000 Chevrolet Silverado 2500 HD Extended Cab - Pickup - 272 6EO,"DriversLicense(number='S20IONO6', issue_date=datetime.date(2020, 10, 21), exp_date=datetime.date(2028, 5, 8), restrictions='None')",Married,Dylan Sims - 1954-09-30,,,,,,
Barbara,Danielle,Brown,,Ms.,Female,Heterosexual,283-75-0178,2002-07-14,04:53 AM,,Black,Wavy,Brown,68.9,151.3,Compulsively scratches nose,H00150190,2016-10-10,2026-10-10,Cell: (544) 845-3786,Personal: bbrown714@kmail.com,"Home: 7712 Jerry Ford - Apt. 751, Adamsborough, TX - 79702",Silver 2020 Nissan Pathfinder - SUV - 645 UWU,"DriversLicense(number='Y51ACHY3', issue_date=datetime.date(2023, 11, 7), exp_date=datetime.date(2028, 1, 30), restrictions='B - Corrective Lenses')",Single,,,,,,,
Dylan,Allen,Sims,Al,Mr.,Male,Heterosexual,855-91-7191,1954-09-30,02:55 AM,,Blonde,Straight,Brown,70.5,170.3,Talks about obscure music artists,R38338964,2018-08-30,2028-08-30,Cell: (441) 421-8329,Personal: sims109@kmail.com,"Home: 578 Moon Crossroad - Suite 919, Schmidtport, AK - 99667","Red 1992 Oldsmobile Achieva - Sedan, Coupe - 384-VRG","DriversLicense(number='Y69NKFN5', issue_date=datetime.date(2021, 6, 8), exp_date=datetime.date(2029, 12, 12), restrictions='B - Corrective Lenses')",Married,Kathryn Snyder - 1952-08-14,,,,,,
Kathryn,Michele,Snyder,Kathy,Ms.,Female,Heterosexual,349-87-1858,1952-08-14,08:54 PM,,Grey,Wavy,Brown,72.4,146.1,Pinches lips together tightly,W19818111,2020-06-13,2030-06-13,Cell: (437) 131-2449,Personal: ksnyder481@hokmail.com,"Home: 578 Moon Crossroad - Suite 919, Schmidtport, AK - 99667",White 1998 Cadillac Seville - Sedan - YHG6177,"DriversLicense(number='U43ZJKP4', issue_date=datetime.date(2023, 11, 6), exp_date=datetime.date(2029, 3, 23), restrictions='None')",Married,Daniel Carroll - 1947-12-03,,,,,,
Daniel,,Carroll,Dan,Mr.,Male,Heterosexual,389-13-0362,1947-12-03,06:02 AM,,Blonde,Curly,Brown,78.1,170.2,Enjoys sappy love songs played on the radio,Y33157427,2014-11-12,2024-11-12,Cell: (659) 684-1773,Personal: danielcarroll@kmail.com,"Home: 578 Moon Crossroad - Suite 919, Schmidtport, AK - 99667","Red 1992 Geo Storm - Coupe, Hatchback - MBY 644","DriversLicense(number='V54VIHR7', issue_date=datetime.date(2020, 12, 27), exp_date=datetime.date(2031, 7, 23), restrictions='None')",Single,Kathryn Snyder - 1952-08-14,,,,,,
Jorge,Brandon,Brown,,Mr.,Male,Heterosexual,742-59-5469,2014-04-19,06:24 AM,,Brown,Spiky,Brown,79.7,167.5,Clasps and unclasps fingers together,B48464393,2016-10-13,2026-10-13,Cell: (446) 263-1208,Personal: jbrown944@kmail.com,"Home: 98210 Ryan Trafficway - Suite 182, West Nicole, KS - 67509",Blue 2008 Porsche Cayenne - SUV - LJP 349,"DriversLicense(number='W95UVKK9', issue_date=datetime.date(2023, 6, 8), exp_date=datetime.date(2029, 7, 13), restrictions='None')",Single,,,,,,,
Robert,Joseph,Brown,Bobby,Mr.,Male,Heterosexual,595-17-7674,2013-12-07,12:08 AM,,Black,Frizzy,Green,70.6,161.8,Stands with feet together,I21385906,2014-12-23,2024-12-23,Cell: (113) 304-2222,Personal: robertbrown@hokmail.com,"Home: 95672 Connor Alley, East Rogermouth, NJ - 07184",Black 2016 Ford Transit Connect Cargo - Van/Minivan - 064263,"DriversLicense(number='C31MUZH1', issue_date=datetime.date(2021, 3, 2), exp_date=datetime.date(2030, 4, 27), restrictions='None')",Single,,,,,,,
