first_name,middle_name,last_name,nickname,gender,sexual_orientation,ssn,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,passport_num,passport_issue_date,passport_exp_date,phone_number,email,home,vehicle,drivers_license,marital_status,spouse,age,full_name,title,gender_abbr,format_weight,format_height,vehicle_details
Isaac,Jessica,Davis,Ike,Transgender,Bisexual,370-40-2811,2015-02-03,11:51 PM,,White,Curly,Blue,62.1,132.4,Scoffs under breath about things taking place,J69942348,2023-12-29,2033-12-29,Cell: (241) 117-1052,Personal: isaacdavis15@free.net,"Home: 454 Jennifer Avenue - Suite 978, Sydneyfurt, NJ - 08105",Tan 2007 GMC Savana 2500 Passenger - Van/Minivan - 45Y PF7,"DriversLicense(number='Y75TUIV1', issue_date=datetime.date(2020, 9, 14), exp_date=datetime.date(2029, 6, 10), restrictions='B - Corrective Lenses')",Single,,,,,,,,
Chelsea,Meagan,Moore,,Female,Heterosexual,102-01-5238,2020-03-02,01:07 AM,,Red,Curly,Brown,67.5,155.2,Speaks softly,Z33401317,2020-08-08,2030-08-08,Cell: (472) 226-0111,Personal: moore875@yakoo.com,"Home: 6704 Sandra Skyway - Suite 131, Glasshaven, DC - 20028",Brown 1993 Subaru Justy - Hatchback - 2J AW894,"DriversLicense(number='S97OBBP6', issue_date=datetime.date(2021, 7, 3), exp_date=datetime.date(2031, 9, 11), restrictions='B - Corrective Lenses')",Single,,,,,,,,
Kathleen,,Pineda,Trina,Nonbinary,Bisexual,472-02-2853,2017-02-13,10:57 PM,,Red,Unkempt,Brown,56.6,143.4,Rolls eyes,I02823560,2015-11-12,2025-11-12,Cell: (334) 417-6854,Personal: kpineda@yakoo.com,"Home: 6088 Robinson Road, East Kathryn, CO - 80108",Brown 2006 Dodge Ram 2500 Regular Cab - Pickup - 4UG W46,"DriversLicense(number='W45PRKO0', issue_date=datetime.date(2022, 3, 9), exp_date=datetime.date(2029, 9, 25), restrictions='B - Corrective Lenses')",Single,,,,,,,,
David,Christine,Rocha,Tina,Transgender,Heterosexual,301-92-9846,1929-08-20,02:26 AM,,Red,Curly,Brown,62.6,121.3,Doodles absentmindedly,E92727261,2014-05-12,2024-05-12,Cell: (225) 197-8737,Personal: drocha@outkook.com,"Home: 2955 Henry Mount - Apt. 070, Annaport, AR - 72716",Red 2008 Toyota Tacoma Regular Cab - Pickup - 4-9035C,"DriversLicense(number='G71HMGE2', issue_date=datetime.date(2022, 1, 25), exp_date=datetime.date(2030, 1, 15), restrictions='B - Corrective Lenses')",Divorced,,,,,,,,
Thomas,,Villegas,Tom,Male,Asexual,076-63-4310,2021-07-30,01:25 PM,,White,Touseled,Hazel,68.5,181.1,Walks with erect posture,G24645051,2014-03-11,2024-03-11,Cell: (194) 707-1266,Personal: thomasvillegas@kol.com,"Home: 015 Danny Cape, Lake Jennifer, MO - 63220",Green 2009 Mercedes-Benz GL-Class - SUV - 93W G81,"DriversLicense(number='O51ISDF9', issue_date=datetime.date(2023, 10, 13), exp_date=datetime.date(2031, 1, 15), restrictions='B - Corrective Lenses')",Single,,,,,,,,
Daniel,,Davis,,Nonbinary,Bisexual,015-69-5236,2009-08-03,11:45 PM,,Brown,Curly,Blue,71.4,116.9,Clenches jaw,N47695652,2019-11-16,2029-11-16,Cell: (464) 936-1418,Personal: ddavis83@free.net,"Home: 89648 Baker Stravenue, North Dawn, IL - 60779",Tan 1997 Hyundai Sonata - Sedan - EU 22533,"DriversLicense(number='L40FSKV9', issue_date=datetime.date(2023, 11, 6), exp_date=datetime.date(2031, 10, 8), restrictions='D - Daytime Only')",Single,,,,,,,,
Jeffrey,John,Davis,,Male,Asexual,832-68-2245,2010-03-28,12:25 AM,,Black,Wavy,Amber,64.0,167.7,Eyes that dart around a lot,L52517431,2016-01-28,2026-01-28,Cell: (575) 675-5443,Personal: jdavis10@kmail.com,"Home: 53970 Tucker Highway - Apt. 809, North Melissahaven, DE - 19965",Brown 2014 Toyota Venza - Wagon - WT6 G8L,"DriversLicense(number='T10CITL9', issue_date=datetime.date(2022, 4, 4), exp_date=datetime.date(2031, 9, 5), restrictions='D - Daytime Only')",Single,,,,,,,,
Tasha,Victoria,Davis,Tory,Transgender,Asexual,598-24-3310,2016-03-30,08:21 AM,,Blonde,Straight,Green,65.2,133.9,Swallows constantly,E35781082,2023-09-19,2033-09-19,Cell: (944) 805-4743,Personal: tdavis16@hokmail.com,"Home: 16616 Evans Crossing, South Scott, OK - 73099",Red 2016 Ford Transit 350 Wagon - Van/Minivan - 5K 0L4XXO,"DriversLicense(number='C46FBYR3', issue_date=datetime.date(2020, 10, 30), exp_date=datetime.date(2028, 5, 27), restrictions='B - Corrective Lenses')",Single,,,,,,,,
Eric,,Davis,,Male,Homosexual,293-78-1992,2012-06-27,08:44 PM,,Blonde,Spiky,Brown,63.8,161.0,Stares in the distance,M64473395,2022-02-20,2032-02-20,Cell: (595) 346-8755,Personal: ericdavis12@hokmail.com,"Home: 010 Joseph Brook, Whitefort, WY - 82399",Gray 1994 Ford Aspire - Hatchback - 04NC2,"DriversLicense(number='T29EFDB0', issue_date=datetime.date(2023, 9, 6), exp_date=datetime.date(2028, 7, 28), restrictions='None')",Single,,,,,,,,
Mary,Melissa,Pineda,,Transgender,Heterosexual,524-93-0493,2014-09-30,04:17 AM,,Brown,Unkempt,Grey,66.7,144.0,"Makes a ""tsk"" noise",P17103337,2016-09-09,2026-09-09,Cell: (951) 852-7701,Personal: marypineda916@outkook.com,"Home: 1064 Ryan Divide - Suite 831, North Nicholasbury, MA - 01563",Orange 2009 Subaru Tribeca - SUV - 172 7IG,"DriversLicense(number='I21YQSN6', issue_date=datetime.date(2020, 7, 6), exp_date=datetime.date(2028, 7, 31), restrictions='None')",Single,,,,,,,,
