id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,salary,work_days,work_hours,patron_of,list_of_family,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
Pa70b,Male,Donald,Adam,Brown,Dony,743-85-8935,Heterosexual,75,3,2024-09-27,01:20 PM,2100-01-01,Black,Frizzy,Brown,72.7,201.1,AADD,Exhales sharply,"Alert, Neat, Gracious",Solitary,"Regimental, Lazy, Erratic",(603) 788-7978,Personal: dbrown@yakoo.com,Passport: B41710521 - Exp: Mar 2106,Driver's License: H24ZXKC7 - Exp: Oct 2098,"Residence (val:3/size:2): 3A East Larch Street - Apartment F14, Baxter Center, Dumphrey - 00000",,"Bank Account (497885940): $45,211.78",,Married,Angela Brown (2027 - 2100),,"[Pc15e, Pfae7, P9acb]",[],,,Flexin (2001) - Gym,Trainer: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pe00a, Pc15e, Pfae7, P9acb]",False,,True,True,True,Senior (Deceased),Donald Adam Brown,Dony Brown,Mr.,M,Female,26.7,201 lbs,"6' 1""",2024 - 2100,A+
P14bb,Male,Gerald,John,Osborne,,194-86-6236,Homosexual,70,3,2029-03-03,03:54 PM,,Black,Wavy,Blue,76.6,165.2,ABDD,Takes a lot of selfies,"Warm, Sociable, Modest",Mellow,"Critical, Abrasive, Morbid",(101) 631-1507,Personal: gosborne406@hokmail.com,Passport: C70409513 - Exp: May 2107,Driver's License: H11GUIW1 - Exp: Nov 2101,"Residence (val:1/size:4): 46 Cantor Street - Apartment 209, Baxter Center, Dumphrey - 00000","Black 2001 BMW 5 Series - Wagon, Sedan - 734-KWK","Bank Account (272601119): $136,566.90",,Married,John Mark Hall (2032 - 2100),,"[P7b24, P0f61]",[],,,Foodr (2001) - Grocery,Vice President: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P2723, P7b24, P0f61]",True,,True,True,True,Senior,Gerald John Osborne,Gerald Osborne,Mr.,M,Male,19.8,165 lbs,"6' 5""",2029 -  ,AB+
P39ce,Male,John,Anthony,Delgado,,420-45-0354,Homosexual,70,3,2029-05-05,02:21 PM,,Black,Straight,Blue,60.8,160.9,BBDD,Stops to listen to all street musicians,"Cheerful, Masculine  (Manly), Innovative",Placid,"Narcissistic, Lazy, Domineering",(817) 167-1513,Personal: johndelgado525@kmail.com,Passport: E29070262 - Exp: Jul 2102,Driver's License: B13VXTD8 - Exp: Aug 2102,"Residence (val:4/size:4): 31 West Chestnut Street - Apartment C4, Baxter Center, Dumphrey - 00000",,"Bank Account (402823560): $60,818.22",,Married,Matthew Derrick Delgado (2040 - 2100),,"[P6ab4, P91a8]",[],,,Flexin (2001) - Gym,Trainer: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P3093, P6ab4, P91a8]",True,,True,True,True,Senior,John Anthony Delgado,John Delgado,Mr.,M,Male,30.6,161 lbs,"5' 1""",2029 -  ,B+
Pec3b,Female,Tammy,Cynthia,King,,552-41-7654,Heterosexual,69,3,2030-02-22,04:17 AM,2100-01-01,Brown,Touseled,Brown,64.1,130.2,OODd,Loudly points out faults in others,"Constant, Alert, Lovable",Whimsical,"Brittle, Narrow-minded, Weak-willed",(799) 145-3089,Personal: harris116@kol.com,Passport: O46295547 - Exp: Sep 2109,Driver's License: O87DZIY3 - Exp: Aug 2105,"Residence (val:4/size:4): 31 West Chestnut Street - Apartment F4, Baxter Center, Dumphrey - 00000",Blue 2016 Chevrolet Impala Limited - Sedan - 3HHB688,"Bank Account (849792729): $25,769.67",,Married,Martin Jason King (2027 -  ),Harris,[Paf5c],[],,,AffordableHub (2001) - Grocery,Vice President: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[Pf696, Paf5c]",False,,True,True,True,Senior (Deceased),Tammy Cynthia King,Tammy King,Mrs.,F,Male,22.3,130 lbs,"5' 4""",2030 - 2100,O+
P2723,Male,John,Mark,Hall,Johnny,283-75-0178,Homosexual,67,3,2032-08-31,08:10 AM,2100-01-01,Blonde,Frizzy,Green,70.6,144.6,AODd,Rubbing nose,"Sharing, Sympathetic, Deep",Uninhibited,"Provocative, Quirky, Expedient",(271) 460-0150,Personal: hall676@kmail.com,Passport: M11907126 - Exp: Jun 2104,Driver's License: V55HJEA5 - Exp: Dec 2101,"Residence (val:1/size:4): 46 Cantor Street - Apartment 209, Baxter Center, Dumphrey - 00000",Gray 2002 Chevrolet Silverado 1500 HD Crew Cab - Pickup - 712-TSW,"Bank Account (645051301): $25,620.25",,Married,Gerald John Osborne (2029 -  ),,"[P7b24, P0f61]",[],,,Healthn (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P14bb, P7b24, P0f61]",False,,True,True,True,Senior (Deceased),John Mark Hall,Johnny Hall,Mr.,M,Male,20.4,145 lbs,"5' 11""",2032 - 2100,A+
Pce46,Female,Beth,,Nunez,Betsy,239-71-9999,Heterosexual,72,3,2027-01-04,07:08 PM,,Brown,Flowing,Brown,56.1,150.0,ABDd,Wears clothing with stains,"Rustic, Generous, Solid",Mellow,"Moody, False, Repentant",(709) 730-8579,Personal: bethhall@outkook.com,Passport: M18338447 - Exp: Jun 2104,Driver's License: N61PVXD1 - Exp: Mar 2107,"Residence (val:5/size:8): 211 North Route 66 - Apt. 11, Baxter Center, Dumphrey - 00000",White 2019 Volkswagen Jetta GLI - Sedan - 12Y 4493,"Bank Account (218667203): $247,178.89","Animal(name='Banjo', animal_type='Dog', breed='Bernese Mountain Dog', age=2, gender='Male')",Married,Scott Derek Nunez (2034 -  ),Hall,[P9c18],[],,,Healthn (2001) - Grocery,Owner: General,3000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P6e6a, P9c18]",True,,True,True,True,Senior,Beth Nunez,Betsy Nunez,Mrs.,F,Male,33.5,150 lbs,"4' 8""",2027 -  ,AB+
Pe559,Female,Heather,Linda,Tucker,Lindy,053-11-4649,Homosexual,79,3,2020-09-12,04:22 AM,,Black,Wavy,Brown,72.1,142.8,OODd,Compulsively scratches nose,"Maticulous, Neat, Debonair",Contradictory,"Asocial, Impulsive, Overimaginative",(658) 654-4344,Personal: heathertucker912@kmail.com,Passport: K51797124 - Exp: Jun 2101,Driver's License: I99TLQX1 - Exp: May 2098,"Residence (val:3/size:4): 23 West Chestnut Street - Apartment 205, Baxter Center, Dumphrey - 00000",,"Bank Account (169356861): $145,870.81",,Single,,,[],[],,,Foodr (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],True,,True,True,True,Senior,Heather Linda Tucker,Lindy Tucker,Ms.,F,Female,19.3,143 lbs,"6' 0""",2020 -  ,O+
P807c,Male,Glenn,,Dominguez,,120-49-5183,Heterosexual,60,3,2039-08-17,04:42 AM,2100-01-01,Black,Flowing,Brown,68.2,176.3,BODD,Holds eye contact when interacting,"Respectful, Honorable, Creative",Emotional,"Thoughtless, Difficult, Unlovable",(805) 464-4054,Personal: glenndominguez817@kmail.com,Passport: L78108229 - Exp: Dec 2105,Driver's License: K50DIWM4 - Exp: Oct 2105,"Residence (val:5/size:8): 211 North Route 66 - Apt. 13, Baxter Center, Dumphrey - 00000",Gray 1992 Chevrolet S10 Extended Cab - Pickup - LUK 0558,Bank Account (366182355): $252.02,"Animal(name='Sky', animal_type='Bird', breed='Canary', age=0, gender='Male')",Married,Stephanie Dominguez (2034 -  ),,[P0110],[],,,Healthn (2001) - Grocery,Manager: General,2000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P26e4, P0110]",False,,True,True,True,Senior (Deceased),Glenn Dominguez,Glenn Dominguez,Mr.,M,Female,26.6,176 lbs,"5' 8""",2039 - 2100,B+
Pd91c,Female,Whitney,,Glover,,668-88-5251,Heterosexual,73,3,2026-08-17,09:24 AM,2100-01-01,Black,Flowing,Brown,68.8,138.0,BODd,Locked ankles,"Individualistic, Exciting, Capable",Sensual,"Scheming, Condemnatory, Childish",(748) 347-3395,Personal: whitneyglover984@kmail.com,Passport: O12637192 - Exp: Jan 2100,Driver's License: R21UZUL3 - Exp: Oct 2098,"Residence (val:2/size:4): 60 Denville Road - Apartment 501, Baxter Center, Dumphrey - 00000",Black 2009 Pontiac Vibe - Wagon - 5SL1064,"Bank Account (222909221): $15,566.44","Animal(name='Ralph', animal_type='Dog', breed='Kuvasz', age=6, gender='Male')",Married,Adam Charles Solomon (2028 -  ),,[Pdfb4],[],,,AffordableHub (2001) - Grocery,Secretary: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],"[P5c01, Pdfb4]",False,,True,True,True,Senior (Deceased),Whitney Glover,Whitney Glover,Mrs.,F,Male,20.5,138 lbs,"5' 9""",2026 - 2100,B+
P125a,Female,Madison,Regina,Sharp,,023-87-1904,Heterosexual,73,3,2026-06-11,03:20 PM,2100-01-01,Black,Curly,Brown,65.2,135.7,OOdd,Flexing fingers,"Maticulous, Considerate, Loyal",Soft,"Disobedient, Expedient, Conventional",(235) 937-7233,Personal: madisonsharp258@kmail.com,Passport: G02227324 - Exp: Nov 2102,Driver's License: R80ZNNQ0 - Exp: Apr 2102,"Residence (val:3/size:19): 15 East Maple Street - Apartment 1506, Baxter Center, Dumphrey - 00000",,"Bank Account (961259638): $42,865.53",,Single,,,[],[],,,StrongLink (2001) - Gym,Trainer: General,1000,"[0, 1, 2, 3, 4]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",[],[],False,,True,True,True,Senior (Deceased),Madison Regina Sharp,Madison Sharp,Ms.,F,Male,22.4,136 lbs,"5' 5""",2026 - 2100,O-
