date,description,amount,balance
2023-01-02 09:42:55,AffordableHub - Payment,$-66.28,"$11,442.11"
2023-01-06 00:00:00,Purchase by AffordableHub,"$3,000.00","$14,364.68"
2023-01-06 17:09:06,Foodr - Payment,$-77.43,"$11,364.68"
2023-01-12 12:01:27,AffordableHub - Payment,$-44.95,"$14,319.73"
2023-01-13 00:00:00,Purchase by AffordableHub,"$3,000.00","$17,319.73"
2023-01-14 09:29:07,AffordableHub - Payment,$-188.35,"$17,131.38"
2023-01-20 00:00:00,Purchase by AffordableHub,"$3,000.00","$19,931.47"
2023-01-20 15:59:55,AffordableHub - Payment,$-199.91,"$16,931.47"
2023-01-24 16:36:55,Foodr - Payment,$-47.30,"$19,884.17"
2023-01-27 00:00:00,Purchase by AffordableHub,"$3,000.00","$22,884.17"
2023-01-30 10:53:01,AffordableHub - Payment,$-98.18,"$22,785.99"
2023-01-30 15:30:32,StrongLink - Payment,$-74.40,"$22,711.59"
2023-02-01 21:55:54,AffordableHub - Payment,$-107.11,"$22,604.48"
2023-02-03 00:00:00,Purchase by AffordableHub,"$3,000.00","$25,604.48"
2023-02-04 12:25:56,AffordableHub - Payment,$-168.47,"$25,436.01"
2023-02-10 00:00:00,Purchase by AffordableHub,"$3,000.00","$28,436.01"
2023-02-14 21:17:01,Foodr - Payment,$-93.53,"$28,342.48"
2023-02-17 00:00:00,Purchase by AffordableHub,"$3,000.00","$31,287.83"
2023-02-17 18:38:06,AffordableHub - Payment,$-54.65,"$28,287.83"
2023-02-18 13:09:23,Healthn - Payment,$-81.49,"$31,206.34"
2023-02-24 00:00:00,Purchase by AffordableHub,"$3,000.00","$34,206.34"
2023-03-03 00:00:00,Purchase by AffordableHub,"$3,000.00","$37,206.34"
2023-03-08 13:41:01,AffordableHub - Payment,$-31.37,"$37,174.97"
2023-03-10 00:00:00,Purchase by AffordableHub,"$3,000.00","$40,174.97"
2023-03-13 14:20:26,Fitr - Payment,$-96.24,"$40,078.73"
2023-03-17 00:00:00,Purchase by AffordableHub,"$3,000.00","$43,078.73"
2023-03-24 00:00:00,Purchase by AffordableHub,"$3,000.00","$46,078.73"
2023-03-31 00:00:00,Purchase by AffordableHub,"$3,000.00","$49,078.73"
2023-04-01 11:20:23,AffordableHub - Payment,$-167.65,"$48,911.08"
2023-04-06 15:26:23,AffordableHub - Payment,$-40.50,"$48,870.58"
2023-04-07 00:00:00,Purchase by AffordableHub,"$3,000.00","$51,870.58"
2023-04-14 00:00:00,Purchase by AffordableHub,"$3,000.00","$54,870.58"
2023-04-21 00:00:00,Purchase by AffordableHub,"$3,000.00","$57,870.58"
2023-04-27 15:44:26,Foodr - Payment,$-50.65,"$57,819.93"
2023-04-28 00:00:00,Purchase by AffordableHub,"$3,000.00","$60,819.93"
2023-05-02 16:34:58,AffordableHub - Payment,$-175.73,"$60,644.20"
2023-05-05 00:00:00,Purchase by AffordableHub,"$3,000.00","$63,644.20"
