first_name,middle_name,last_name,nickname,title,gender,sexual_orientation,ssn,date_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,phone_number,email,home,vehicle,siblings
Melody,Dana,Torres,NotImplemented,Ms.,Female,Heterosexual,577-91-0176,2006-03-07,,Black,Curly,Brown,64.8,143.0,Pats/fixes hair constantly,Cell: (326) 468-1765,Personal: mtorres06@yahoo.com,"Home: 40428 Gregory Flats - Apt. 230, Rodgersberg, HI - 96791",Black 1994 Lexus ES - Sedan - 1UU58,"[Kelsey, 1912-09-02 , Michelle, 1941-09-14 ]"
Scott,Alfred,Drake,NotImplemented,Mr.,Male,Heterosexual,351-68-4376,1960-03-31,,Black,Wavy,Amber,64.6,139.5,Smokes a pipe,Cell: (642) 695-4264,Personal: scottdrake331@hotmail.com,"Home: 4021 Aguilar Prairie - Suite 105, West Patrick, SD - 57365",White 2019 Cadillac ATS-V - Coupe - 1M S6310,"[Sharon, 1927-10-13 , Felicia, 1964-01-08 ]"
Jimmy,Nathan,Knight,NotImplemented,Mr.,Male,Heterosexual,253-14-4963,1962-10-11,,Blonde,Straight,Brown,60.9,124.6,Steeples hands,Cell: (394) 904-2874,Personal: jknight68@hotmail.com,"Home: 3697 Mills Rapid - Suite 906, Port Brenda, GA - 31067",Silver 1995 Dodge Ram Wagon 3500 - Van/Minivan - UL-8267,[]
Richard,Mark,Rodriguez,NotImplemented,Mr.,Male,Heterosexual,097-07-8689,1927-01-15,,Black,Frizzy,Blue,62.4,136.7,Exhales sharply,Cell: (234) 887-6529,Personal: richardrodriguez27@yahoo.com,"Home: 1845 Lutz Valley, Alexview, IA - 50002",Black 2015 Land Rover LR4 - SUV - PZV-909,[]
Samuel,Mark,Hunt,NotImplemented,Mr.,Male,Heterosexual,828-99-3097,1923-12-10,,Black,Touseled,Brown,66.6,142.0,Rarely smiles,Cell: (304) 846-9768,Personal: samuelhunt23@gmail.com,"Home: 55809 Taylor Gardens, Port Williamchester, MA - 02083",Blue 2014 Hyundai Sonata - Sedan - RPT-956,"[Sean, 1925-02-17 , James, 1985-01-22 ]"
Daniel,Nathan,Harris,NotImplemented,Mr.,Male,Heterosexual,706-94-8280,1989-01-10,,Brown,Frizzy,Hazel,63.1,134.5,"Seems to ""zone out"" when music is playing",Cell: (462) 414-6432,Personal: dharris89@yahoo.com,"Home: 36278 Melissa Tunnel, Sanchezport, IN - 46259",Red 1995 Acura TL - Sedan - ZBH 908,"[Amy, 2016-08-31 , Carolyn, 1992-10-13 ]"
Phyllis,Chelsea,Martinez,NotImplemented,Ms.,Female,Heterosexual,244-70-0004,1927-08-03,,Black,Flowing,Brown,68.5,155.1,Has oddball sayings,Cell: (159) 285-0927,Personal: phyllismartinez27@hotmail.com,"Home: 86913 Stevens Glen, Sarahfurt, SD - 57278",Brown 2019 Audi A8 - Sedan - 37I 360,[]
Cheryl,Kayla,Combs,NotImplemented,Ms.,Female,Heterosexual,168-72-3964,2018-03-06,,Black,Touseled,Amber,67.3,150.1,Chews on lips,Cell: (768) 729-1575,Personal: cherylcombs@yahoo.com,"Home: 7475 Rojas Forest, Carlosville, CO - 80489","Gray 2000 Subaru Impreza - Wagon, Sedan, Coupe - 052Y0","[Erin, 2020-01-04 , Eric, 1925-05-18 ]"
Mary,Natalie,White,NotImplemented,Ms.,Female,Heterosexual,623-28-4758,2019-02-12,,Brown,Spiky,Hazel,59.2,137.8,Wears multiple pins with odd sayings,Cell: (599) 302-2258,Personal: mwhite212@hotmail.com,"Home: 115 Wise Streets, South Austin, AK - 99741",Black 1999 Lexus SC - Coupe - 489-PTT,"[Daniel, 1934-06-17 ]"
Teresa,Grace,Sanford,NotImplemented,Ms.,Female,Heterosexual,519-50-9312,1995-08-26,,Black,Flowing,Brown,64.0,155.9,Wears a scarf often,Cell: (302) 910-1468,Personal: tsanford@yahoo.com,"Home: 949 Jason Port - Apt. 607, East Alex, VT - 05410",Gray 2000 Chevrolet 2500 HD Regular Cab - Pickup - 827215,"[Elizabeth, 1989-08-04 , Nicole, 2006-11-08 , Joshua, 1936-08-17 , Kaitlin, 1970-02-23 ]"
