id,company_name,website,industry,sub_industry,founded,client_scope,hq,market_share,abbreviation
C00019,TransitExpress Delivery,kttps://www.transitexpressdelivery.com,Transportation,Courier / Delivery,2099,Local,"Business: 35714 Rachel Crescent , East Danahaven, OH - 43104",0.36,TED
C00027,Transit Shift,kttps://www.transitshift.com,Transportation,Relocation,2098,Local,"Business: 877 Goodwin Stream , Brandonport, NY - 14483",0.48,TS
C00031,TransitPath Share,kttp://www.transitpathshare.com,Transportation,Ride Sharing / Taxi,2098,National,"Business: 9975 Joyce Road , Lake Lukechester, NV - 89698",0.36,TPS
C00033,Cargo Path Shipping,kttp://www.cargopathshipping.com,Transportation,Courier / Delivery,2051,Regional,"Business: 5996 Wall Drives, Leeview, ID - 83602",0.39,CPS
C00045,MoveLines Move,kttps://www.movelinesmove.com,Transportation,Relocation,2090,Female,"Business: 75 Adam Mills, East Sheila, KS - 66198",0.21,MLM
C00048,MoveLines Fly,kttps://www.movelinesfly.com,Transportation,Airline,2092,National,"Business: 649 Sheri Highway , South Danielhaven, IN - 47559",0.74,MLF
C00073,Cargo Taxi,kttps://www.cargotaxi.com,Transportation,Ride Sharing / Taxi,2083,Regional,"Business: 7300 Catherine Mill , Lake Johnathanfurt, DE - 19813",0.72,CT
C00078,MoveLines Transit,kttp://www.movelinestransit.com,Transportation,Train,2092,National,"Business: 3840 Russell Fall, Lake Jennafurt, IN - 46252",0.19,MLT
C00084,Speed Ways Wings,kttps://www.speedwayswings.com,Transportation,Airline,2094,National,"Business: 9041 Paula Burgs , North Markborough, NV - 89841",0.07,SWW
C00093,Cargo Path Sail,kttps://www.cargopathsail.com,Transportation,Boat,2098,Local,"Business: 8912 Russell Lights, Port Jeremy, ID - 83795",0.6,CPS
C00101,Commute Path Cargo,kttp://www.commutepathcargo.com,Transportation,Shipping / Freight,2098,Female,"Business: 68295 Spencer Ville , Elizabethtown, WV - 24731",0.35,CPC
C00112,Route Lines Freight,kttp://www.routelinesfreight.com,Transportation,Shipping / Freight,2098,Male,"Business: 7841 Roberts Trace , Lake Samantha, LA - 70547",0.3,RLF
C00113,Cargo Routes Express,kttps://www.cargoroutesexpress.com,Transportation,Train,2098,Regional,"Business: 982 Ballard Village , Port Melissamouth, NH - 03866",0.53,CRE
C00114,Cargo Routes Ships,kttp://www.cargoroutesships.com,Transportation,Boat,2068,Local,"Business: 987 Alvarez Bypass, East Annaton, IN - 46639",0.33,CRS
C00129,Speed Trains,kttp://www.speedtrains.com,Transportation,Train,2083,National,"Business: 3325 Townsend Square, Port Michelebury, MS - 39217",0.51,ST
C00131,Transit Ways Rides,kttps://www.transitwaysrides.com,Transportation,Ride Sharing / Taxi,2096,Female,"Business: 32932 Nichols Ways , Karenberg, UT - 84679",0.61,TWR
C00134,Commute Express Logistics,kttps://www.commuteexpresslogistics.com,Transportation,Shipping / Freight,2080,Local,"Business: 1331 Watson Common, Reginaldshire, SD - 57325",0.17,CEL
C00146,Route Express,kttp://www.routeexpress.com,Transportation,Train,2098,Local,"Business: 76404 Laura Points, North Yolanda, WV - 25958",0.5,RE
C00154,MoveExpress Express,kttps://www.moveexpressexpress.com,Transportation,Courier / Delivery,2000,National,"Business: 66266 Joseph Shores, Welchhaven, WI - 53869",0.78,MEE
C00158,CargoRoutes Bus,kttp://www.cargoroutesbus.com,Transportation,Bus,2099,Regional,"Business: 551 Rush Ford , Lake Devin, IL - 62460",0.77,CRB
C00167,Journey Routes Move,kttps://www.journeyroutesmove.com,Transportation,Relocation,2069,Female,"Business: 4965 Norris Plain , Erinfort, MI - 49460",0.06,JRM
C00172,CargoLines Taxi,kttps://www.cargolinestaxi.com,Transportation,Ride Sharing / Taxi,2090,Regional,"Business: 976 Cox Plain, Weaverland, NH - 03067",0.97,CLT
C00190,Commute Ways Courier,kttps://www.commutewayscourier.com,Transportation,Courier / Delivery,2097,National,"Business: 757 Michaela Mill , Bradyborough, SC - 29430",0.64,CWC
