date,description,amount,balance
2023-01-01 08:43:10,StrongLink - Payment,$-113.91,"$28,262.66"
2023-01-05 16:32:27,StrongLink - Payment,$-160.19,"$28,102.47"
2023-01-08 13:12:15,StrongLink - Payment,$-57.78,"$28,044.69"
2023-01-11 14:16:17,Fitr - Payment,$-75.29,"$27,969.40"
2023-01-13 20:56:19,StrongLink - Payment,$-173.60,"$27,795.80"
2023-01-17 18:19:19,Flexin - Payment,$-178.70,"$27,617.10"
2023-01-24 11:29:59,StrongLink - Payment,$-105.84,"$27,511.26"
2023-01-25 20:05:22,StrongLink - Payment,$-108.25,"$27,403.01"
2023-01-26 12:44:51,StrongLink - Payment,$-156.59,"$27,246.42"
2023-01-31 12:52:00,youGrocery - Payment,$-115.65,"$27,130.77"
2023-01-31 13:44:10,StrongLink - Payment,$-68.28,"$27,062.49"
2023-02-05 19:18:07,StrongLink - Payment,$-51.71,"$27,010.78"
2023-02-07 12:48:17,StrongLink - Payment,$-29.60,"$26,981.18"
2023-02-08 12:38:13,youGrocery - Payment,$-95.62,"$26,885.56"
2023-02-09 09:56:29,youGrocery - Payment,$-156.27,"$26,729.29"
2023-02-09 13:06:07,StrongLink - Payment,$-88.40,"$26,640.89"
2023-02-11 16:28:19,StrongLink - Payment,$-132.83,"$26,508.06"
2023-02-12 21:15:37,Flexin - Payment,$-56.20,"$26,451.86"
2023-02-14 16:35:52,StrongLink - Payment,$-42.37,"$26,409.49"
2023-02-17 19:18:01,youGrocery - Payment,$-69.70,"$26,339.79"
2023-02-18 13:52:43,youGrocery - Payment,$-189.46,"$26,150.33"
2023-02-23 14:05:38,youGrocery - Payment,$-106.95,"$26,043.38"
2023-02-23 14:45:47,StrongLink - Payment,$-77.35,"$25,966.03"
2023-02-24 18:26:15,youGrocery - Payment,$-88.10,"$25,877.93"
2023-02-25 09:19:37,StrongLink - Payment,$-75.97,"$25,692.96"
2023-02-25 13:48:17,youGrocery - Payment,$-109.00,"$25,768.93"
2023-02-26 08:45:34,Flexin - Payment,$-77.40,"$25,615.56"
2023-03-04 08:09:58,Healthn - Payment,$-89.90,"$25,525.66"
2023-03-06 10:02:58,StrongLink - Payment,$-76.39,"$25,449.27"
2023-03-08 13:04:09,Fitr - Payment,$-186.54,"$25,262.73"
2023-03-09 20:28:17,StrongLink - Payment,$-138.17,"$25,124.56"
2023-03-12 12:54:44,StrongLink - Payment,$-65.19,"$25,059.37"
2023-03-13 20:08:51,StrongLink - Payment,$-74.49,"$24,984.88"
2023-03-16 17:28:34,StrongLink - Payment,$-186.18,"$24,798.70"
2023-03-18 19:32:31,Flexin - Payment,$-132.60,"$24,666.10"
2023-03-19 11:43:39,youGrocery - Payment,$-71.47,"$24,594.63"
2023-03-27 19:06:55,StrongLink - Payment,$-117.34,"$24,294.10"
2023-03-27 21:34:07,youGrocery - Payment,$-183.19,"$24,411.44"
2023-03-29 16:52:47,youGrocery - Payment,$-60.31,"$24,233.79"
2023-03-31 19:30:39,StrongLink - Payment,$-49.40,"$24,184.39"
2023-04-03 19:05:36,StrongLink - Payment,$-143.67,"$24,040.72"
2023-04-04 10:10:59,StrongLink - Payment,$-155.86,"$23,884.86"
2023-04-07 20:59:12,youGrocery - Payment,$-24.27,"$23,860.59"
2023-04-10 10:50:18,StrongLink - Payment,$-59.17,"$23,624.56"
2023-04-10 11:13:42,Foodr - Payment,$-176.86,"$23,683.73"
2023-04-13 17:01:23,StrongLink - Payment,$-179.45,"$23,445.11"
