date,description,amount,balance
2023-01-03 16:44:12,Fitr - Payment,$-57.13,"$49,689.16"
2023-01-08 15:49:31,Fitr - Payment,$-174.20,"$49,514.96"
2023-01-11 09:31:09,Fitr - Payment,$-99.26,"$49,415.70"
2023-01-12 20:38:08,youGrocery - Payment,$-57.89,"$49,357.81"
2023-01-16 21:54:54,youGrocery - Payment,$-67.68,"$49,290.13"
2023-01-21 10:44:33,Fitr - Payment,$-29.00,"$49,261.13"
2023-01-24 18:28:37,youGrocery - Payment,$-20.85,"$49,240.28"
2023-01-25 15:29:13,Fitr - Payment,$-71.83,"$49,168.45"
2023-01-26 18:06:43,Fitr - Payment,$-28.24,"$49,140.21"
2023-01-27 08:13:39,youGrocery - Payment,$-171.64,"$48,968.57"
2023-01-29 14:55:07,Foodr - Payment,$-102.99,"$48,865.58"
2023-02-03 14:06:22,Fitr - Payment,$-90.11,"$48,775.47"
2023-02-04 15:05:14,youGrocery - Payment,$-44.22,"$48,731.25"
2023-02-11 18:10:33,youGrocery - Payment,$-149.00,"$48,582.25"
2023-02-11 19:10:03,Fitr - Payment,$-29.60,"$48,552.65"
2023-02-20 13:20:30,Foodr - Payment,$-122.22,"$48,430.43"
2023-02-21 08:08:55,Flexin - Payment,$-141.12,"$48,289.31"
2023-02-22 14:25:20,youGrocery - Payment,$-54.97,"$48,234.34"
2023-02-26 11:33:07,Healthn - Payment,$-46.71,"$48,187.63"
2023-03-02 21:08:37,youGrocery - Payment,$-160.29,"$48,027.34"
2023-03-03 09:32:18,Fitr - Payment,$-120.52,"$47,906.82"
2023-03-05 10:29:01,AffordableHub - Payment,$-119.15,"$47,787.67"
2023-03-06 08:46:39,StrongLink - Payment,$-99.21,"$47,688.46"
2023-03-08 15:24:39,Fitr - Payment,$-199.73,"$47,488.73"
2023-03-13 09:00:42,Fitr - Payment,$-29.64,"$47,459.09"
2023-03-16 21:17:47,Flexin - Payment,$-150.10,"$47,308.99"
2023-03-23 21:27:44,Fitr - Payment,$-141.51,"$47,167.48"
2023-03-26 16:35:25,youGrocery - Payment,$-194.74,"$46,972.74"
2023-03-30 14:12:25,youGrocery - Payment,$-137.48,"$46,835.26"
2023-03-30 14:30:08,Fitr - Payment,$-56.93,"$46,778.33"
2023-03-31 21:49:31,Fitr - Payment,$-82.52,"$46,695.81"
2023-04-04 09:22:49,Fitr - Payment,$-107.58,"$46,588.23"
2023-04-06 19:30:59,Flexin - Payment,$-173.67,"$46,414.56"
2023-04-10 12:31:04,youGrocery - Payment,$-118.74,"$46,295.82"
2023-04-10 15:19:26,Fitr - Payment,$-179.93,"$46,115.89"
2023-04-11 18:06:50,youGrocery - Payment,$-169.62,"$45,946.27"
2023-04-12 14:53:10,Fitr - Payment,$-97.90,"$45,848.37"
2023-04-18 11:29:29,Fitr - Payment,$-46.20,"$45,802.17"
2023-04-22 08:35:20,Fitr - Payment,$-108.33,"$45,693.84"
2023-04-28 18:55:44,Fitr - Payment,$-56.72,"$45,637.12"
2023-04-29 11:36:35,youGrocery - Payment,$-120.21,"$45,516.91"
2023-05-05 20:18:34,youGrocery - Payment,$-190.95,"$45,325.96"
2023-05-07 15:42:34,Fitr - Payment,$-122.75,"$45,203.21"
2023-05-08 19:54:59,Fitr - Payment,$-34.21,"$45,169.00"
2023-05-10 08:20:23,Fitr - Payment,$-61.18,"$45,107.82"
2023-05-15 08:51:00,Fitr - Payment,$-169.76,"$44,938.06"
2023-05-16 12:19:54,Fitr - Payment,$-101.17,"$44,836.89"
2023-05-17 18:52:30,youGrocery - Payment,$-88.47,"$44,748.42"
2023-05-20 15:32:05,Fitr - Payment,$-93.20,"$44,655.22"
2023-05-22 11:15:48,Fitr - Payment,$-143.23,"$44,511.99"
2023-05-28 08:27:48,youGrocery - Payment,$-196.60,"$44,315.39"
2023-05-28 17:12:36,Fitr - Payment,$-163.92,"$44,151.47"
2023-06-02 13:57:33,Fitr - Payment,$-103.66,"$44,047.81"
2023-06-03 20:33:44,Flexin - Payment,$-104.57,"$43,943.24"
2023-06-10 18:15:07,Fitr - Payment,$-38.32,"$43,904.92"
2023-06-12 08:13:10,Flexin - Payment,$-82.20,"$43,822.72"
2023-06-14 12:44:39,youGrocery - Payment,$-149.51,"$43,673.21"
2023-06-14 13:09:22,Fitr - Payment,$-158.16,"$43,515.05"
2023-06-15 15:31:17,Fitr - Payment,$-113.24,"$43,401.81"
2023-06-17 15:28:29,Fitr - Payment,$-128.49,"$43,273.32"
2023-06-18 10:33:54,Fitr - Payment,$-181.21,"$43,092.11"
2023-06-19 16:41:26,Flexin - Payment,$-68.87,"$43,023.24"
2023-06-25 08:01:15,Fitr - Payment,$-195.91,"$42,827.33"
2023-06-27 11:27:05,youGrocery - Payment,$-158.43,"$42,668.90"
2023-06-28 16:55:09,Fitr - Payment,$-100.11,"$42,568.79"
2023-06-29 11:28:55,youGrocery - Payment,$-68.00,"$42,500.79"
2023-07-01 20:07:45,youGrocery - Payment,$-197.45,"$42,303.34"
2023-07-02 10:55:31,Fitr - Payment,$-41.48,"$42,261.86"
2023-07-08 09:23:16,youGrocery - Payment,$-114.99,"$42,146.87"
2023-07-12 18:56:23,Fitr - Payment,$-122.77,"$41,952.64"
2023-07-12 20:31:20,Foodr - Payment,$-71.46,"$42,075.41"
2023-07-17 18:41:58,youGrocery - Payment,$-68.87,"$41,883.77"
2023-07-23 15:56:43,Fitr - Payment,$-179.90,"$41,703.87"
2023-07-24 13:57:14,youGrocery - Payment,$-121.39,"$41,582.48"
2023-07-24 19:04:30,Fitr - Payment,$-149.27,"$41,433.21"
2023-07-26 19:00:21,AffordableHub - Payment,$-171.42,"$41,261.79"
2023-07-27 20:59:46,Fitr - Payment,$-106.39,"$41,155.40"
2023-07-29 10:44:23,Fitr - Payment,$-133.40,"$41,022.00"
2023-08-01 17:50:23,Fitr - Payment,$-183.82,"$40,838.18"
2023-08-04 09:42:27,Fitr - Payment,$-176.19,"$40,661.99"
2023-08-05 14:14:11,Fitr - Payment,$-45.68,"$40,616.31"
2023-08-06 13:22:00,Fitr - Payment,$-188.24,"$40,428.07"
2023-08-10 17:46:35,Fitr - Payment,$-193.98,"$40,234.09"
2023-08-12 18:21:06,StrongLink - Payment,$-41.98,"$40,192.11"
2023-08-16 20:04:45,youGrocery - Payment,$-34.32,"$40,157.79"
2023-08-18 08:16:57,Healthn - Payment,$-146.47,"$40,011.32"
2023-08-19 10:06:12,Fitr - Payment,$-170.60,"$39,840.72"
2023-08-21 09:12:51,Flexin - Payment,$-143.63,"$39,697.09"
2023-08-22 16:46:44,youGrocery - Payment,$-47.52,"$39,649.57"
2023-08-24 15:54:25,Fitr - Payment,$-196.10,"$39,319.90"
2023-08-24 17:01:48,youGrocery - Payment,$-133.57,"$39,516.00"
2023-08-26 14:49:01,youGrocery - Payment,$-188.41,"$39,131.49"
2023-08-26 16:59:05,Fitr - Payment,$-196.69,"$38,934.80"
2023-08-27 11:10:46,Fitr - Payment,$-83.53,"$38,752.50"
2023-08-27 12:06:37,youGrocery - Payment,$-98.77,"$38,836.03"
2023-08-28 10:14:10,Fitr - Payment,$-21.31,"$38,731.19"
2023-08-29 17:44:12,youGrocery - Payment,$-175.50,"$38,555.69"
2023-08-30 11:20:13,Fitr - Payment,$-72.66,"$38,483.03"
2023-09-09 11:14:55,youGrocery - Payment,$-102.42,"$38,380.61"
2023-09-11 19:58:45,Fitr - Payment,$-157.39,"$38,223.22"
2023-09-12 11:17:42,Fitr - Payment,$-31.85,"$38,191.37"
2023-09-19 16:43:27,youGrocery - Payment,$-53.72,"$38,137.65"
2023-09-21 15:23:29,youGrocery - Payment,$-160.86,"$37,976.79"
2023-09-21 16:26:36,Fitr - Payment,$-154.31,"$37,822.48"
2023-09-23 08:54:41,youGrocery - Payment,$-179.98,"$37,642.50"
2023-09-23 09:13:05,Fitr - Payment,$-43.97,"$37,598.53"
2023-09-24 16:10:26,Fitr - Payment,$-71.34,"$37,527.19"
2023-09-25 08:25:09,Fitr - Payment,$-185.30,"$37,341.89"
2023-09-29 12:20:38,Fitr - Payment,$-142.56,"$37,199.33"
2023-10-03 12:47:18,StrongLink - Payment,$-198.82,"$37,000.51"
2023-10-04 15:38:24,youGrocery - Payment,$-75.41,"$36,925.10"
2023-10-05 11:43:35,youGrocery - Payment,$-168.66,"$36,756.44"
2023-10-08 18:01:10,youGrocery - Payment,$-154.50,"$36,601.94"
2023-10-12 11:20:51,Flexin - Payment,$-73.33,"$36,528.61"
2023-10-14 10:58:42,Fitr - Payment,$-160.37,"$36,368.24"
2023-10-15 14:04:46,Foodr - Payment,$-175.87,"$36,192.37"
2023-10-19 09:31:10,Fitr - Payment,$-21.12,"$36,171.25"
2023-10-26 16:56:54,Fitr - Payment,$-59.66,"$36,111.59"
2023-10-27 08:36:05,Fitr - Payment,$-115.46,"$35,882.63"
2023-10-27 21:46:29,youGrocery - Payment,$-113.50,"$35,998.09"
2023-10-29 10:19:46,youGrocery - Payment,$-142.77,"$35,739.86"
2023-10-29 18:37:54,Flexin - Payment,$-182.36,"$35,557.50"
2023-10-30 18:18:03,Fitr - Payment,$-96.28,"$35,310.74"
2023-10-30 20:52:23,AffordableHub - Payment,$-150.48,"$35,407.02"
2023-11-06 17:43:20,StrongLink - Payment,$-110.71,"$35,200.03"
2023-11-08 11:13:55,youGrocery - Payment,$-35.66,"$35,164.37"
2023-11-09 21:05:01,youGrocery - Payment,$-159.94,"$35,004.43"
2023-11-10 15:45:56,Flexin - Payment,$-171.80,"$34,832.63"
